@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 3,2,-1417479130,2,-1417479130,-1897170512,-1897170512,422,20,-1417479130,180,72815,23486,1,3355393,28255
3,2,-1417479130,2,-1417479130,-1897170512,-1897170512,425,20,-1417479130,182,19909,5902,1,3355393,28321
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,427,20,-1417479130,183,151959,24500,1,3355393,28398
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,429,20,-1417479130,184,22045,5210,1,3355393,28466
4,2,-1417479130,2,-1897170512,-1417479130,-1417479130,434,20,-1417479130,187,27629,7274,1,3355393,28533
1,1,-1417479130,1,-1417479130,-1897170512,-1897170512,435,20,-1417479130,188,97020,20967,1,3355393,28593
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,437,20,-1417479130,189,39591,9796,1,3355393,28687
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,439,20,-1417479130,190,93527,11028,1,3355393,28979
1,1,-1417479130,1,-1417479130,-1897170512,-1897170512,440,20,-1417479130,191,17941,2969,1,3355393,29037
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,442,20,-1417479130,192,134010,28989,1,3355393,29279
0,0,63,0,-1897170512,-1417479130,-1417479130,442,20,-1417479130,192,15360,15360,1,3355393,29351
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,421,20,-1417479130,185,39013,44280,1,3355393,32442
2,2,-1417479130,1,-1417479130,-1897170512,-1897170512,422,20,-1417479130,186,2519070,316303,1,3355393,32503
2,2,-1417479130,1,-1897170512,-1417479130,-1417479130,424,20,-1417479130,187,68281,32885,1,3355393,32630
3,2,-1417479130,2,-1417479130,-543674259,-1897170512,427,20,-1417479130,189,178905,65605,1,3355393,32692
2,2,-1547699361,1,-1897170512,-1547699361,-1417479130,429,20,-1417479130,189,46548,25630,1,3355393,32753
2,2,-1417479130,1,-598732045,-1417479130,-1417479130,431,20,-1417479130,190,75245,22792,1,3355393,32913
0,0,63,0,-598732045,-1417479130,-1417479130,431,20,-1417479130,190,140960,102585,1,3355393,32979
1,1,-1958346218,1,-1958346218,-598732045,-598732045,432,21,-1417479130,190,1267740,188481,1,3355393,33672
2,2,1156888975,1,1156888975,-684269794,1156888975,361,19,-1417479130,146,0,0,1,3645274,37126
1,1,1156888975,1,1156888975,-684269794,1156888975,361,19,-1417479130,146,10240,10240,1,3645274,37183
0,0,63,0,1156888975,-684269794,1156888975,361,19,-1417479130,146,0,0,1,3645274,37440
2,1,-981435044,2,-981435044,-981435044,-981435044,363,20,-1417479130,146,2027086,269038,1,3645274,37507
