@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
7,3,-1417479130,3,-684269794,-684269794,1156888975,394,21,-1547699361,133,0,0,1,3344016,78385
1,1,-684269794,1,-684269794,-684269794,1156888975,395,21,-1547699361,133,27998,11001,1,3344016,78446
1,1,-684269794,1,-684269794,-684269794,-684269794,393,21,-1547699361,133,15298592,175133,1,3344016,79649
4,4,-1547699361,1,-1547699361,511012546,-1547699361,397,21,-1547699361,134,967583,99025,1,3344016,79710
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,386,21,-1547699361,136,781012,197383,1,3344016,82051
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,387,21,-1547699361,137,17239,761,1,3344016,82113
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,388,21,-1547699361,138,59603,3954,1,3344016,82268
4,2,-1547699361,2,-1547699361,714499313,-1547699361,392,21,-1547699361,140,65669,26321,1,3344016,82329
0,0,63,0,-1547699361,714499313,-1547699361,392,21,-1547699361,140,17586,827,1,3344016,82391
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,393,21,-1547699361,141,16994,882,1,3344016,82456
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,394,21,-1547699361,142,74958,1053,1,3344016,82720
4,2,-1547699361,2,714499313,714499313,714499313,398,21,-1547699361,144,9943770,299711,1,3344016,82782
1,1,714499313,1,714499313,714499313,714499313,399,21,-1547699361,144,3789830,230614,1,3344016,82843
1,1,714499313,1,714499313,714499313,714499313,400,21,-1547699361,144,116110,37795,1,3344016,82891
0,0,63,0,714499313,714499313,714499313,400,21,-1547699361,144,69699,3360,1,3344016,83116
1,1,714499313,1,714499313,714499313,714499313,401,21,-1547699361,144,0,0,1,3344016,83177
0,0,63,0,714499313,714499313,714499313,401,21,-1547699361,144,176182,67986,1,3344016,83238
3,1,714499313,3,714499313,714499313,714499313,404,21,-1547699361,144,29396,23307,1,3344016,83300
1,1,714499313,1,714499313,714499313,714499313,405,21,-1547699361,144,1298654,53925,1,3344016,83361
2,1,714499313,2,714499313,714499313,714499313,407,21,-1547699361,144,476316,70884,1,3344016,83423
2,2,714499313,1,714499313,908140028,714499313,409,21,-1547699361,144,442561,50105,1,3344016,83484
0,0,63,0,714499313,908140028,714499313,409,21,-1547699361,144,392052,47548,1,3344016,83545
1,1,714499313,1,714499313,714499313,714499313,388,21,-1547699361,141,1114512,296640,1,3355393,61
4,2,714499313,3,714499313,714499313,714499313,388,21,-1547699361,141,711876,89065,1,3355393,122
0,0,63,0,714499313,714499313,714499313,385,21,-1547699361,141,561329,22833,1,3355393,184
3,1,714499313,3,714499313,714499313,714499313,388,21,-1547699361,141,445494,33946,1,3355393,245
4,1,714499313,4,714499313,714499313,714499313,387,21,-1547699361,141,301284,47313,1,3355393,306
0,0,63,0,714499313,714499313,714499313,386,21,-1547699361,141,276152,20734,1,3355393,388
0,0,63,0,714499313,714499313,714499313,386,21,-1547699361,141,60578,82705,1,3355393,1190
2,2,1584724328,1,1584724328,714499313,1584724328,388,21,-1547699361,141,714177,266550,1,3355393,1251
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,19519,26037,1,3355393,1312
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,483,595,1,3355393,1373
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,14598,17693,1,3355393,1435
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,16902,13916,1,3355393,1496
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,8381,8292,1,3355393,1557
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,17123,23495,1,3355393,1619
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,370,168,1,3355393,1680
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,242,52,1,3355393,1741
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,42370,82197,1,3355393,1803
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,3453,4517,1,3355393,1864
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,1837,4623,1,3355393,1926
0,0,63,0,1584724328,714499313,1584724328,388,21,-1547699361,141,23738,24543,1,3355393,1987
0,0,63,0,1584724328,714499313,1584724328,387,20,-1547699361,141,9883,4792,1,3355393,2048
1,1,1584724328,1,1584724328,1584724328,1584724328,388,20,-1547699361,141,289215,76416,1,3355393,2110
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,5789,5781,1,3355393,2171
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,7088,5043,1,3355393,2232
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,30404,37283,1,3355393,2294
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,1613,1099,1,3355393,2355
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,87219,38311,1,3355393,2416
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,24911,37162,1,3355393,2478
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,306,168,1,3355393,2539
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,17002,23270,1,3355393,2601
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,717,553,1,3355393,2662
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,2579,3167,1,3355393,2723
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,29583,29137,1,3355393,2785
0,0,63,0,1584724328,1584724328,1584724328,388,20,-1547699361,141,242,52,1,3355393,2846
