@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
0,0,63,0,714499313,-1958346218,714499313,82,10,-1547699361,28,5240195,2614158,1,3089196,84222
0,0,63,0,714499313,-1958346218,714499313,82,10,-1547699361,28,7664244,216829,1,3089196,84283
0,0,63,0,714499313,-1958346218,714499313,82,10,-1547699361,28,205598,29007,1,3089196,84344
0,0,63,0,714499313,-1958346218,714499313,82,10,-1547699361,28,1561415,60745,1,3089196,84405
1,1,-1958346218,1,-1958346218,714499313,-1547699361,83,10,-1547699361,28,2697155,121087,1,3089196,84463
2,2,-1547699361,1,-1547699361,-1958346218,-1547699361,85,10,-1547699361,29,964354,1198527,1,3089196,85170
2,2,714499313,1,714499313,-1958346218,714499313,87,10,-1547699361,29,4718991,212487,1,3089196,85232
0,0,63,0,714499313,-1958346218,714499313,87,10,-1547699361,29,8953370,279076,1,3089196,85294
1,1,714499313,1,714499313,714499313,714499313,85,10,-1547699361,29,1186332,58007,1,3089196,85355
1,1,714499313,1,714499313,714499313,714499313,86,10,-1547699361,29,4962503,344114,1,3089196,85417
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,543218,41994,1,3089196,85478
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,1303457,56044,1,3089196,85539
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,149515,2365570,1,3089196,85599
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,174978,4348012,1,3089196,85660
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,1505621,68123,1,3089196,85721
0,0,63,0,714499313,714499313,714499313,86,10,-1547699361,29,381983,46465,1,3089196,85782
3,3,-595313746,1,-595313746,-1958346218,-1958346218,82,11,-1547699361,26,303743,2168411,1,3089196,86287
5,3,-1547699361,3,-1547699361,-1547699361,-1547699361,88,11,-1547699361,30,38364,15122,1,3089196,86354
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,87,11,-1547699361,30,34289,34134,1,3333321,26
1,1,-133843480,1,-133843480,-1547699361,-1547699361,87,11,-1547699361,29,86264,118094,1,3333321,3493
2,2,-133843480,1,-1547699361,-133843480,-1547699361,89,11,-1547699361,30,564999,308702,1,3333321,26678
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,92,11,-1547699361,33,715177,3492636,1,3333321,26744
0,0,63,0,-1547699361,-1547699361,-1547699361,92,11,-1547699361,33,417725,4805139,1,3333321,26805
2,2,714499313,1,714499313,-1958346218,714499313,94,11,-1547699361,33,19097555,2506582,1,3333321,26866
0,0,63,0,714499313,-1958346218,714499313,94,11,-1547699361,33,6415478,204544,1,3333321,26927
0,0,63,0,714499313,-1958346218,714499313,94,11,-1547699361,33,127201,12494,1,3333321,26988
1,1,714499313,1,714499313,714499313,714499313,95,11,-1547699361,33,134977,40328,1,3333321,27048
1,1,714499313,1,714499313,714499313,714499313,96,11,-1547699361,33,4883358,52483412,1,3333321,29492
0,0,63,0,-1547699361,714499313,-1547699361,97,11,-1547699361,34,1395189,12545965,1,3333321,29623
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,96,11,-1547699361,34,2267621,24887425,1,3333321,33494
0,0,63,0,-1547699361,-1547699361,-1547699361,96,11,-1547699361,34,392436,34874654,1,3333321,33555
0,0,63,0,-1547699361,-1547699361,-1547699361,96,11,-1547699361,34,173289,18222353,1,3333321,33615
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,98,11,-1547699361,36,1105,1424,1,3333321,33675
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,99,11,-1547699361,37,1059751,63553471,1,3333321,35725
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,89,9,-1547699361,36,330324,23576614,1,3333321,35953
5,4,1837737536,2,1837737536,1837737536,1837737536,93,10,-1547699361,37,2144496,108306226,1,3333321,36741
1,1,1837737536,1,1837737536,1837737536,1837737536,94,10,-1547699361,37,1685648,44055048,1,3333321,37083
2,2,-1547699361,1,-1547699361,-1958346218,-1547699361,97,10,-1547699361,38,524444,46770,1,3333321,37147
3,3,1837737536,1,-1547699361,-1958346218,-1547699361,100,10,-1547699361,39,2123351,29761964,1,3333321,37212
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,101,10,-1547699361,40,392112,23968177,1,3333321,37271
0,0,63,0,-1547699361,-1547699361,-1547699361,101,10,-1547699361,40,526775,41767208,1,3333321,37332
0,0,63,0,-1547699361,-1547699361,-1547699361,101,10,-1547699361,40,258836,16168440,1,3333321,37393
0,0,63,0,-1547699361,-1547699361,-1547699361,101,10,-1547699361,40,455597,29978189,1,3333321,37454
0,0,63,0,-1547699361,-1547699361,-1547699361,100,10,-1547699361,40,103505,8263,1,3333321,37514
2,2,1837737536,1,1837737536,-1547699361,1837737536,101,10,-1547699361,41,304847,44784,1,3333321,37576
1,1,1837737536,1,1837737536,1837737536,1837737536,101,10,-1547699361,41,550294,60868,1,3333321,37636
2,1,1837737536,2,1837737536,1837737536,1837737536,102,10,-1547699361,41,1108260,46114856,1,3333321,37697
0,0,63,0,1837737536,1837737536,1837737536,102,10,-1547699361,41,871375,7535653,1,3333321,37758
3,3,1837737536,1,1837737536,-1547699361,1837737536,105,10,-1547699361,42,334657,130677,1,3333321,37820
1,1,1837737536,1,1837737536,1837737536,1837737536,106,10,-1547699361,42,2324197,156022,1,3333321,37880
