@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
3,2,1156888975,2,-684269794,1156888975,-1417479130,198,23,-1547699361,69,0,0,1,3344016,60758
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,200,23,-1547699361,71,20674,1073,1,3344016,60819
0,0,63,0,-1547699361,-1547699361,-1547699361,201,23,-1547699361,72,17938,85594,1,3344016,60948
1,1,867339652,1,867339652,-1547699361,867339652,202,23,-1547699361,72,56122,12500,1,3344016,61010
0,0,63,0,867339652,-1547699361,867339652,202,23,-1547699361,72,24269,7065,1,3344016,61072
0,0,63,0,867339652,-1547699361,867339652,202,23,-1547699361,72,323,243,1,3344016,61134
0,0,63,0,867339652,-1547699361,867339652,202,23,-1547699361,72,19155,3029,1,3344016,61196
2,2,867339652,1,256457446,867339652,256457446,201,23,-1547699361,72,51317,26956,1,3344016,62246
1,1,249834385,1,249834385,256457446,-503208244,202,23,-1547699361,72,1938868,307556,1,3344016,62357
5,1,-1547699361,5,-1547699361,-1547699361,-1547699361,207,23,-1547699361,77,48044,197057,1,3344016,62419
0,0,63,0,-1547699361,-1547699361,-1547699361,208,23,-1547699361,78,4168,3344,1,3344016,62510
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,209,23,-1547699361,79,5177,5224,1,3344016,62724
0,0,63,0,-1547699361,-1547699361,-1547699361,209,23,-1547699361,79,46630,27201,1,3344016,62786
0,0,63,0,-1547699361,-1547699361,-1547699361,209,23,-1547699361,79,21785,13893,1,3344016,62848
0,0,63,0,-1547699361,-1547699361,-1547699361,209,23,-1547699361,79,17078,6288,1,3344016,62950
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,209,23,-1547699361,80,4845,5482,1,3344016,63057
1,1,1964101881,1,1964101881,-1547699361,-1547699361,210,24,-1547699361,80,1447762,229687,1,3344016,63118
0,0,63,0,1964101881,-1547699361,-1547699361,210,24,-1547699361,80,32171,11832,1,3344016,63180
3,1,1964101881,3,1964101881,1964101881,1964101881,214,24,-1547699361,80,201883,186592,1,3344016,63242
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,216,24,-1547699361,82,85897,208632,1,3344016,63321
1,1,249834385,1,249834385,-1547699361,-503208244,217,24,-1547699361,82,8336,3300,1,3344016,63457
1,1,249834385,1,249834385,249834385,-503208244,218,24,-1547699361,82,16404,9292,1,3344016,63638
4,3,-1547699361,2,-1547699361,-1547699361,-1547699361,220,24,-1547699361,84,9339,165573,1,3344016,63689
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,215,24,-1547699361,82,178805,48993,1,3344016,64533
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,218,24,-1547699361,85,12783,9591,1,3344016,64595
0,0,63,0,-1547699361,-1547699361,-1547699361,218,24,-1547699361,85,9296,1420,1,3344016,64658
0,0,63,0,-1547699361,-1547699361,-1547699361,218,24,-1547699361,85,7586,1223,1,3344016,64759
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,219,24,-1547699361,86,27015,7183,1,3344016,64905
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,220,24,-1547699361,88,16400,6134,1,3344016,64967
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,221,24,-1547699361,90,17431,12409,1,3344016,65029
0,0,63,0,-1547699361,-1547699361,-1547699361,220,24,-1547699361,90,11339,4806,1,3344016,65091
1,1,-1520738335,1,-1520738335,-1547699361,-1520738335,221,24,-1547699361,90,6564,3451,1,3344016,65170
0,0,63,0,-1520738335,-1547699361,-1520738335,221,24,-1547699361,90,9179,1091,1,3344016,65267
1,1,-1547699361,1,-1547699361,-1520738335,-1547699361,221,24,-1547699361,91,10417,1662,1,3344016,65568
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,222,24,-1547699361,92,9444,2298,1,3344016,65630
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,224,24,-1547699361,94,9799,9543,1,3344016,65687
