@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 

0,0,63,0,-2075712516,-1802756527,-1802756527,281,16,-1802756527,95,3109607,35189,1,3355393,8463
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,7365,10645,1,3355393,8524
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,6104345,145266,1,3355393,8585
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,52395,37696,1,3355393,8646
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,76189,24749,1,3355393,8707
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,24942,25642,1,3355393,8768
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,75159,33280,1,3355393,8829
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,16208478,206555,1,3355393,8890
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,28356784,234301,1,3355393,8951
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,21580709,190027,1,3355393,9012
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,25710259,199400,1,3355393,9073
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,40586431,416115,1,3355393,9134
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,20523526,194977,1,3355393,9195
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,25196698,239929,1,3355393,9257
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,89703173,761161,1,3355393,9318
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,59228011,383361,1,3355393,9379
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,9832777,139718,1,3355393,9439
0,0,63,0,-2075712516,-1802756527,-1802756527,279,16,-1802756527,95,1576734,73179,1,3355393,9500
0,0,63,0,1695073577,1695073577,1695073577,282,16,-1802756527,96,142849,19312,1,3355393,9595
3,3,1695073577,1,-1547699361,-1802756527,-1547699361,285,16,-1802756527,97,614036,365461,1,3355393,34006
3,3,-1547699361,1,-662003450,-1802756527,-1802756527,288,16,-1802756527,98,7848712,371285,1,3355393,34066
0,0,63,0,-662003450,-1802756527,-1802756527,288,16,-1802756527,98,10821626,303432,1,3355393,34128
0,0,63,0,-662003450,-1802756527,-1802756527,288,16,-1802756527,98,5424809,246680,1,3355393,34189
2,2,-1802756527,1,-415995561,-1802756527,-1802756527,290,16,-1802756527,99,2324887,177162,1,3355393,34250
1,1,-1802756527,1,-1802756527,-415995561,-1802756527,291,16,-1802756527,100,27063,16583,1,3355393,34311
3,2,-1547699361,2,-1547699361,-1547699361,-1547699361,294,16,-1802756527,101,3453,5073,1,3355393,34544
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,297,16,-1802756527,101,390,405,1,3355393,34607
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,298,16,-1802756527,101,4333,5561,1,3355393,34669
3,2,-1547699361,2,-1802756527,-1547699361,-1802756527,301,16,-1802756527,102,1878,2180,1,3355393,34731
2,2,-1547699361,1,-1547699361,-1802756527,-1547699361,297,16,-1802756527,102,1214237,99293,1,3355393,38768
5,3,-1547699361,3,-662003450,-1802756527,-1802756527,302,16,-1802756527,103,6719520,253877,1,3355393,38830
2,2,-1802756527,1,-2075712516,-1802756527,-1802756527,304,16,-1802756527,104,5613964,226283,1,3355393,38891
0,0,63,0,-2075712516,-1802756527,-1802756527,304,16,-1802756527,104,40952439,412811,1,3355393,38952
0,0,63,0,-2075712516,-1802756527,-1802756527,304,16,-1802756527,104,16497741,178208,1,3355393,39013
0,0,63,0,-2075712516,-1802756527,-1802756527,304,16,-1802756527,104,10142045,155793,1,3355393,39074
0,0,63,0,-2075712516,-1802756527,-1802756527,304,16,-1802756527,104,26098696,247137,1,3355393,39135
