@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
3,3,1156888975,1,-684269794,1156888975,1156888975,153,14,-1547699361,41,0,0,1,3344016,73341
0,0,63,0,-684269794,1156888975,1156888975,153,14,-1547699361,41,13306,3346,1,3344016,73399
0,0,63,0,-2099846372,568722390,1156888975,155,14,-1547699361,41,341037,284391,1,3344016,73531
4,4,1401449222,1,1401449222,-543674259,1401449222,159,15,-1547699361,41,1176991,262909,1,3344016,75704
4,2,1401449222,3,1401449222,1401449222,1401449222,163,15,-1547699361,41,95612,32298,1,3344016,75814
2,1,1401449222,2,1401449222,1401449222,1401449222,165,15,-1547699361,41,6798240,132528,1,3344016,75875
4,4,1156888975,1,-543674259,40464080,-543674259,169,17,-1547699361,41,116808,37344,1,3344016,76009
0,0,63,0,40464080,-543674259,256457446,170,17,-1547699361,41,80527,413448,1,3344016,76203
2,2,1156888975,1,-595313746,1156888975,-595313746,155,17,1156888975,39,1546596,686030,1,3344016,80158
0,0,63,0,-595313746,1156888975,-595313746,155,17,1156888975,39,9253,3300,1,3344016,80348
2,2,649922993,1,649922993,1156888975,649922993,157,18,1156888975,40,1108281,140075,1,3344016,81328
0,0,63,0,649922993,649922993,649922993,158,18,1156888975,40,5389543,253084,1,3344016,81537
3,3,649922993,1,-1547699361,1156888975,-1547699361,161,18,1156888975,41,6060635,1220699,1,3344016,83701
3,2,-1547699361,2,-1547699361,-1547699361,-1547699361,164,18,1156888975,41,67011,33090,1,3344016,83761
0,0,63,0,-1547699361,-1547699361,-1547699361,164,18,1156888975,41,8574,5067,1,3344016,83822
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,165,18,1156888975,41,8185,3364,1,3344016,83882
0,0,63,0,-595313746,-1547699361,-595313746,166,18,1156888975,41,0,0,1,3344016,84104
1,1,-684269794,1,-684269794,-1547699361,1156888975,170,16,1156888975,44,5426765,1350466,1,3355393,42736
2,2,1156888975,1,1156888975,-1547699361,-1547699361,166,16,1156888975,44,850466,127217,1,3355393,43800
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,168,16,1156888975,44,5516,5105,1,3355393,43860
0,0,63,0,-1547699361,-1547699361,-1547699361,168,16,1156888975,44,7649,5395,1,3355393,43958
0,0,63,0,1156888975,-1547699361,-1547699361,170,16,1156888975,45,4145,5084,1,3355393,44181
2,2,1156888975,1,-684269794,1156888975,1156888975,172,16,1156888975,46,302114,66014,1,3355393,45133
1,1,-120126428,1,-120126428,-684269794,-120126428,167,16,1156888975,44,99377,35339,1,3355393,46183
0,0,63,0,-120126428,-684269794,-120126428,167,16,1156888975,44,22370,6711,1,3355393,46402
0,0,63,0,-120126428,-684269794,-120126428,167,16,1156888975,44,110856,36701,1,3355393,47105
0,0,63,0,-1547699361,-1547699361,-1547699361,171,16,1156888975,45,28362,9339,1,3355393,47304
0,0,63,0,-1547699361,-1547699361,-1547699361,171,16,1156888975,45,500153,110525,1,3355393,48022
1,1,-120126428,1,-120126428,-1547699361,-120126428,172,16,1156888975,45,36392,10725,1,3355393,48148
0,0,63,0,-120126428,-1547699361,-120126428,172,16,1156888975,45,16827,4879,1,3355393,48336
3,3,-952967331,1,-120126428,-952967331,-120126428,170,16,1156888975,45,40587959,1079463,1,3355393,50477
3,2,-120126428,2,256457446,-120126428,1156888975,173,16,1156888975,45,227578,97095,1,3355393,50538
0,0,63,0,256457446,-120126428,1156888975,173,16,1156888975,45,70885,20790,1,3355393,50646
2,2,1156888975,1,-120126428,1156888975,-120126428,175,16,1156888975,46,488966,62917,1,3355393,51139
1,1,-120126428,1,-120126428,-120126428,-120126428,176,16,1156888975,46,123380,37611,1,3355393,51201
2,2,256457446,1,256457446,-120126428,1156888975,178,16,1156888975,46,11705,8614,1,3355393,51263
2,1,-120126428,2,-120126428,-120126428,-120126428,180,16,1156888975,46,33772,19992,1,3355393,51324
2,2,1156888975,1,-120126428,1156888975,-120126428,182,16,1156888975,47,12045,10210,1,3355393,51394
0,0,63,0,-120126428,1156888975,-120126428,182,16,1156888975,47,56224,19196,1,3355393,51457
0,0,63,0,-120126428,-120126428,-120126428,183,16,1156888975,47,1638,1100,1,3355393,51644
3,3,649922993,1,649922993,1156888975,649922993,186,16,1156888975,48,296876,60857,1,3355393,51844
1,1,649922993,1,649922993,649922993,649922993,187,16,1156888975,48,21290566,462003,1,3355393,51904
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,18864325,515452,1,3355393,51965
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,29268768,559701,1,3355393,52026
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,29627850,565702,1,3355393,52086
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,21236143,380279,1,3355393,52147
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,25060018,485073,1,3355393,52208
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,21047151,409391,1,3355393,52268
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,28830953,545202,1,3355393,52329
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,30415735,604149,1,3355393,52390
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,21235294,379748,1,3355393,52450
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,29431081,560826,1,3355393,52511
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,21090481,424266,1,3355393,52572
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,20608787,379764,1,3355393,52632
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,34014326,685708,1,3355393,52693
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,25300665,477368,1,3355393,52754
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,25089889,478528,1,3355393,52814
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,18408729,368146,1,3355393,52875
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,26444218,520732,1,3355393,52936
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,31156127,578872,1,3355393,52996
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,21674429,415810,1,3355393,53057
0,0,63,0,649922993,649922993,649922993,187,16,1156888975,48,24780354,501352,1,3355393,53118
1,1,-120126428,1,-120126428,649922993,-120126428,188,16,1156888975,48,321804,25135,1,3355393,53452
2,2,1156888975,1,-120126428,1156888975,-120126428,190,16,1156888975,49,5013,2743,1,3355393,53518
4,2,-1547699361,3,-1547699361,-1547699361,-1547699361,194,16,1156888975,49,25068,3170,1,3355393,53578
0,0,63,0,-1547699361,-1547699361,-1547699361,194,16,1156888975,49,181887,69563,1,3355393,53641
2,2,1156888975,1,-1547699361,1156888975,-1547699361,195,16,1156888975,50,112997,81404,1,3355393,54305
8,3,-1547699361,4,-120126428,-1547699361,-120126428,203,16,1156888975,50,139462,446640,1,3355393,54365
2,2,256457446,1,-120126428,256457446,-120126428,205,16,1156888975,50,49078,26133,1,3355393,54430
0,0,63,0,-120126428,-120126428,-120126428,207,16,1156888975,50,129368,451541,1,3355393,54827
3,3,-952967331,1,-952967331,1156888975,1156888975,210,16,1156888975,51,53549,53974,1,3355393,55241
0,0,63,0,-952967331,1156888975,1156888975,207,16,-1547699361,50,447,588,1,3355393,55465
1,1,-120126428,1,-120126428,-952967331,-120126428,207,16,-1547699361,50,414301,51798,1,3355393,56337
0,0,63,0,-120126428,-952967331,-120126428,206,16,-1547699361,50,169049,42424,1,3355393,56535
2,2,1156888975,1,1156888975,-1547699361,-1547699361,208,16,-1547699361,51,8689,8608,1,3355393,56665
2,2,256457446,1,-1547699361,256457446,-1547699361,210,16,-1547699361,52,704248,114453,1,3355393,56726
1,1,-120126428,1,-120126428,-1547699361,-120126428,211,16,-1547699361,52,8000,4990,1,3355393,56786
2,2,-120126428,1,-1547699361,-120126428,-1547699361,213,16,-1547699361,53,10081,8264,1,3355393,56847
3,2,-543674259,2,-1547699361,-543674259,-1547699361,216,16,-1547699361,54,334775,46762,1,3355393,56908
1,1,-120126428,1,-120126428,-1547699361,-120126428,217,16,-1547699361,54,6299,4863,1,3355393,56969
0,0,63,0,-120126428,-1547699361,-120126428,217,16,-1547699361,54,511,841,1,3355393,57032
0,0,63,0,-120126428,-1547699361,-120126428,217,16,-1547699361,54,6067,4203,1,3355393,57095
0,0,63,0,-120126428,-1547699361,-120126428,217,16,-1547699361,54,872,992,1,3355393,57157
0,0,63,0,-120126428,-1547699361,-120126428,217,16,-1547699361,54,943,1327,1,3355393,57220
