@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
4,3,-1547699361,2,-1547699361,-1547699361,-1547699361,141,9,-1547699361,43,80978232,1535273,1,3619420,62960
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,144,9,-1547699361,46,59652564,1165282,1,3619420,63020
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,146,9,-1547699361,48,32286727,654420,1,3619420,63081
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,147,9,-1547699361,49,33153826,668435,1,3619420,63142
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,150,9,-1547699361,52,20146306,464184,1,3619420,63203
4,1,-1547699361,4,-1547699361,-1547699361,-1547699361,154,9,-1547699361,56,70611555,1310678,1,3619420,63263
2,2,-120126428,1,-120126428,-1547699361,-120126428,156,9,-1547699361,57,88987162,1634285,1,3619420,63324
2,1,-120126428,2,-120126428,-120126428,-120126428,158,9,-1547699361,57,93838966,1704113,1,3619420,63382
3,3,1156888975,1,-1547699361,1156888975,-1547699361,161,9,-1547699361,58,43621517,858422,1,3619420,63448
1,1,-120126428,1,-120126428,-1547699361,-120126428,162,9,-1547699361,58,97288549,1794407,1,3619420,63859
0,0,63,0,-120126428,-1547699361,-120126428,162,9,-1547699361,58,11836632,337443,1,3619420,63929
3,2,-1547699361,2,-1547699361,-1547699361,-1547699361,165,9,-1547699361,60,236106073,4437237,1,3619420,64199
4,1,-1547699361,4,-1547699361,-1547699361,-1547699361,169,9,-1547699361,64,54425499,1040374,1,3619420,64260
4,3,-1547699361,2,189301402,-120126428,189301402,173,9,-1547699361,66,56469572,1069586,1,3619420,64320
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,92667460,1679461,1,3619420,64381
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,27783474,582444,1,3619420,64441
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,6321673,149024,1,3619420,64502
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,35473,2382,1,3619420,64564
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,38500,6974,1,3619420,64626
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,37157,2110,1,3619420,64688
0,0,63,0,189301402,-120126428,189301402,173,9,-1547699361,66,46290971,849134,1,3619420,64749
4,3,-1547699361,2,-1547699361,-1547699361,-1547699361,175,9,-1547699361,68,19433011,378213,1,3619420,64810
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,174,9,-1547699361,69,60941,12272,1,3619420,64871
2,2,1156888975,1,-1547699361,1156888975,-1547699361,173,9,-1547699361,69,143092,14136,1,3619420,65038
3,1,-120126428,3,-120126428,-120126428,-120126428,176,9,-1547699361,69,36071,5984,1,3619420,65099
2,2,1156888975,1,1156888975,-120126428,-1547699361,177,9,-1547699361,69,1096710,179585,1,3619420,66247
1,1,-120126428,1,-120126428,1156888975,-120126428,178,9,-1547699361,69,18923,7050,1,3619420,66307
1,1,-120126428,1,-120126428,-120126428,-120126428,169,9,-1547699361,67,330007,61471,1,3619420,66819
2,2,1156888975,1,1156888975,-120126428,-1547699361,168,9,-1547699361,64,159971,52924,1,3619420,67095
1,1,-120126428,1,-120126428,1156888975,-120126428,169,9,-1547699361,64,16630,14573,1,3619420,67156
3,3,-2075712516,1,-2075712516,1156888975,1156888975,172,10,-1547699361,64,7173993,164825,1,3619420,67350
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,27149059,103847,1,3619420,67411
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,9441270,45634,1,3619420,67472
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,161524,47717,1,3619420,67532
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,25720868,154924,1,3619420,67593
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,3328495,56184,1,3619420,67654
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,329240,24143,1,3619420,67715
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,832646,67822,1,3619420,67774
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,11207,15709,1,3619420,67835
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,11439,11146,1,3619420,67896
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,8152,6819,1,3619420,67956
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,4798,4510,1,3619420,68017
0,0,63,0,-2075712516,1156888975,1156888975,172,10,-1547699361,64,26140209,188596,1,3619420,68078
0,0,63,0,-2075712516,1156888975,1156888975,170,10,-1547699361,63,8241679,57514,1,3619420,68139
0,0,63,0,-2075712516,1156888975,1156888975,169,10,-1547699361,62,7975,10317,1,3619420,68199
0,0,63,0,-2075712516,1156888975,1156888975,169,10,-1547699361,62,51595,28200,1,3619420,68260
0,0,63,0,-2075712516,1156888975,1156888975,169,10,-1547699361,62,24415262,223326,1,3619420,68321
0,0,63,0,-2075712516,1156888975,1156888975,169,10,-1547699361,62,2420341,45976,1,3619420,68381
0,0,63,0,-2075712516,1156888975,1156888975,169,10,-1547699361,62,5095,8315,1,3619420,68442
1,1,-120126428,1,-120126428,-2075712516,-120126428,170,10,-1547699361,62,2724,3989,1,3619420,68522
1,1,-2099846372,1,-2099846372,-120126428,1156888975,171,10,-1547699361,62,398800,122524,1,3619420,70119
0,0,63,0,-2099846372,-120126428,1156888975,171,10,-1547699361,62,583764,2444945,1,3619420,70179
0,0,63,0,-120126428,-2099846372,-120126428,172,10,-1547699361,62,1175059,230722,1,3619420,71875
1,1,-120126428,1,-120126428,-120126428,-120126428,173,10,-1547699361,62,785410,208482,1,3619420,73949
0,0,63,0,-120126428,-120126428,-120126428,173,10,-1547699361,62,305916,50329,1,3619420,74017
0,0,63,0,1944665481,-120126428,1944665481,165,11,-1547699361,55,1846835,569844,1,3619420,80033
2,2,1156888975,1,1156888975,1944665481,-1547699361,167,11,-1547699361,55,83860,71251,1,3619420,80174
1,1,-543674259,1,-543674259,1156888975,-543674259,168,11,-1547699361,55,125898,46970,1,3619420,80235
0,0,63,0,-543674259,1156888975,-543674259,168,11,-1547699361,55,192254,63213,1,3619420,80296
0,0,63,0,-543674259,1156888975,-543674259,168,11,-1547699361,55,141759,47459,1,3619420,80357
0,0,63,0,-543674259,1156888975,-543674259,168,11,-1547699361,55,142028,49341,1,3619420,80418
1,1,-543674259,1,-543674259,-543674259,-543674259,169,11,-1547699361,55,151429,48826,1,3619420,80479
1,1,-1547699361,1,-1547699361,-543674259,-1547699361,170,11,-1547699361,56,88580,31879,1,3619420,80539
0,0,63,0,-1547699361,-543674259,-1547699361,170,11,-1547699361,56,12418,7636,1,3619420,80601
4,1,-1547699361,4,-1547699361,-1547699361,-1547699361,174,11,-1547699361,60,10590,9949,1,3619420,80662
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,175,11,-1547699361,61,7197,3884,1,3619420,80723
0,0,63,0,-1547699361,-1547699361,-1547699361,175,11,-1547699361,61,11945,9045,1,3619420,80784
0,0,63,0,-1547699361,-1547699361,-1547699361,175,11,-1547699361,61,7832,4468,1,3619420,80844
0,0,63,0,-1547699361,-1547699361,-1547699361,175,11,-1547699361,61,7316,4134,1,3619420,80905
2,2,40464080,1,-1547699361,40464080,-1547699361,177,12,-1547699361,62,50859,7520,1,3619420,80966
0,0,63,0,-1547699361,40464080,-1547699361,177,12,-1547699361,62,26336,15777,1,3619420,81027
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,7269,4200,1,3619420,81088
0,0,63,0,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,53141,26169,1,3619420,81148
0,0,63,0,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,6844,3656,1,3619420,81209
0,0,63,0,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,17304,9366,1,3619420,81270
0,0,63,0,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,6834,3768,1,3619420,81331
0,0,63,0,-1547699361,-1547699361,-1547699361,178,12,-1547699361,63,99089,35655,1,3619420,81392
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,179,12,-1547699361,64,16514,7768,1,3619420,81453
0,0,63,0,-1547699361,-1547699361,-1547699361,181,12,-1547699361,66,52412,19033,1,3619420,81657
0,0,63,0,1156888975,-1547699361,-1547699361,183,12,-1547699361,67,56913,15666,1,3619420,81859
1,1,1156888975,1,1156888975,1156888975,-1547699361,181,12,-1547699361,65,230811,65521,1,3619420,82525
3,1,1156888975,3,1156888975,1156888975,-1547699361,159,11,-1547699361,59,0,0,1,3645274,35717
2,2,-2075712516,1,-2075712516,1156888975,1156888975,161,11,-1547699361,59,274274,114804,1,3645274,36112
0,0,63,0,-2075712516,1156888975,1156888975,161,11,-1547699361,59,52207397,657388,1,3645274,36172
0,0,63,0,-2075712516,1156888975,1156888975,161,11,-1547699361,59,24878363,165583,1,3645274,36232
0,0,63,0,-2075712516,1156888975,1156888975,161,11,-1547699361,59,20898751,317656,1,3645274,36294
0,0,63,0,-2075712516,1156888975,1156888975,161,11,-1547699361,59,7446433,95532,1,3645274,36355
0,0,63,0,-2075712516,1156888975,1156888975,161,11,-1547699361,59,1122495,19343,1,3645274,36415
0,0,63,0,-2075712516,1156888975,1156888975,131,11,-1547699361,48,2172870,300116,1,3645274,45166
2,2,1156888975,1,-1547699361,1156888975,-1547699361,128,11,-1547699361,49,44444278,620633,1,3645274,50608
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,130,11,-1547699361,51,14687,11433,1,3645274,50668
2,2,1156888975,1,1156888975,-1547699361,-1547699361,132,11,-1547699361,52,30711,26049,1,3645274,50887
1,1,-1547699361,1,-1547699361,1156888975,-1547699361,133,11,-1547699361,53,20143,11466,1,3645274,50948
0,0,63,0,-1547699361,1156888975,-1547699361,133,11,-1547699361,53,95677,10390,1,3645274,51008
0,0,63,0,-1547699361,1156888975,-1547699361,133,11,-1547699361,53,121046,31726,1,3645274,51069
0,0,63,0,-1547699361,1156888975,-1547699361,133,11,-1547699361,53,5154,1881,1,3645274,51129
0,0,63,0,-1547699361,1156888975,-1547699361,133,11,-1547699361,53,56832,3809,1,3645274,51190
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,134,11,-1547699361,54,6201,1910,1,3645274,51250
