@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
4,3,-684269794,2,-684269794,-942587680,-942587680,254,15,-1958346218,70,0,0,1,3344016,65477
1,1,-1958346218,1,-1958346218,-684269794,-1958346218,253,15,-1958346218,70,1038,1024,1,3344016,65537
1,1,-1958346218,1,-1958346218,-1958346218,-1958346218,254,15,-1958346218,71,759,284,1,3344016,65623
1,1,-1958346218,1,-1958346218,-1958346218,-1958346218,255,15,-1958346218,72,5350,4311,1,3344016,65687
2,2,-1958346218,1,285500553,-1958346218,285500553,257,15,-1958346218,73,2346,1276,1,3344016,65759
3,2,-845193793,2,-1958346218,-845193793,-1958346218,260,16,-1958346218,74,30131,12361,1,3344016,65822
1,1,-1958346218,1,-1958346218,-1958346218,-1958346218,260,16,-1958346218,75,236093,136669,1,3344016,68264
1,1,-1547699361,1,-1547699361,-1958346218,-1547699361,257,16,-1958346218,74,384144,105036,1,3344016,71712
0,0,63,0,-1547699361,-1547699361,-1547699361,258,16,-1958346218,74,1012,1977,1,3344016,71990
0,0,63,0,-1958346218,-1547699361,-1958346218,261,16,-1958346218,75,80537,36534,1,3344016,72177
1,1,-1547699361,1,-1547699361,-1958346218,-1547699361,256,16,-1958346218,72,5337,4414,1,3344016,72667
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,258,16,-1958346218,72,64499,11813,1,3344016,72906
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,261,16,-1958346218,72,709,928,1,3344016,73005
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,264,16,-1958346218,72,23077,10439,1,3344016,73066
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,263,16,-1958346218,71,2335,4287,1,3344016,73124
0,0,63,0,-1958346218,-684269794,-1958346218,264,16,-1547699361,94,2889042,784753,1,3344016,81034
0,0,63,0,-1547699361,-1958346218,-1547699361,264,16,-1547699361,94,116092,28934,1,3344016,81464
0,0,63,0,-1547699361,-1547699361,-1547699361,258,16,-1547699361,91,405,181,1,3344016,81590
0,0,63,0,-1547699361,-1547699361,-1547699361,255,16,-1547699361,92,69572,3222,1,3344016,81712
0,0,63,0,-1547699361,-1547699361,-1547699361,256,16,-1547699361,93,282,302,1,3344016,81825
0,0,63,0,-1547699361,-1547699361,-1547699361,257,16,-1547699361,94,299,281,1,3344016,81896
4,3,-1547699361,2,-878523062,-1958346218,-878523062,262,16,-1547699361,97,128813,42732,1,3344016,81966
