@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
0,0,63,0,-2075712516,-2075712516,-1547699361,528,23,-1547699361,277,605308,25886,1,3355393,26480
2,2,-1547699361,1,-1547699361,-2075712516,-1547699361,530,23,-1547699361,278,29860,50769,1,3355393,26627
0,0,63,0,-1547699361,-2075712516,-1547699361,529,23,-1547699361,278,8904,3319,1,3355393,26842
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,529,23,-1547699361,278,1280,1152,1,3355393,27215
2,2,-1547699361,1,-282315887,-1547699361,-1547699361,529,24,-1547699361,277,940092,182514,1,3355393,27276
4,2,-203383164,3,-2075712516,-203383164,-1547699361,532,24,-1547699361,276,14566386,655500,1,3355393,27338
6,3,1698344559,3,-203383164,1698344559,-203383164,537,24,-1547699361,275,9682245,271669,1,3355393,27399
0,0,63,0,-2075712516,1698344559,1698344559,541,24,-1547699361,274,5024710,210791,1,3355393,27513
6,3,-2004763571,3,1698344559,-2004763571,-1547699361,546,24,-1547699361,273,196571,40504,1,3355393,27581
1,1,-2004763571,1,-2004763571,1698344559,-2004763571,545,24,-1547699361,273,7673,4766,1,3355393,27642
0,0,63,0,-2004763571,-2004763571,-2004763571,545,24,-1547699361,272,116,26764,1,3355393,27851
3,1,-2004763571,3,-2004763571,-2004763571,-2004763571,547,24,-1547699361,272,0,4728,1,3355393,27986
0,0,63,0,-2004763571,-2004763571,-2004763571,542,24,-1547699361,272,71156,47982,1,3355393,28194
1,1,-2004763571,1,-2004763571,-2004763571,-2004763571,542,24,-1547699361,271,0,16384,1,3355393,28326
0,0,63,0,-2004763571,-2004763571,-2004763571,540,24,-1547699361,270,75365,68759,1,3355393,28537
1,1,-662003450,1,-662003450,-2004763571,-1547699361,541,24,-1547699361,270,8641382,349054,1,3355393,28598
4,2,1134173761,3,1134173761,1134173761,1134173761,540,24,-1547699361,269,3781727,134205,1,3355393,28659
3,2,1134173761,2,714499313,1134173761,714499313,542,24,-1547699361,269,8416254,251553,1,3355393,28720
0,0,63,0,714499313,1134173761,714499313,542,24,-1547699361,269,17713774,370969,1,3355393,28782
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,14185976,195157,1,3355393,28843
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,17996684,378792,1,3355393,28905
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,24638576,411751,1,3355393,28966
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,22348874,347467,1,3355393,29027
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,14825452,217031,1,3355393,29088
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,5959336,88152,1,3355393,29150
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,26111870,382386,1,3355393,29211
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,22640985,338313,1,3355393,29273
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,20070776,349234,1,3355393,29335
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,7278007,97006,1,3355393,29396
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,8359929,171476,1,3355393,29457
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,40960803,619398,1,3355393,29518
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,20914772,345714,1,3355393,29580
0,0,63,0,714499313,1134173761,714499313,540,24,-1547699361,269,41203083,608299,1,3355393,29641
0,0,63,0,714499313,1134173761,714499313,539,24,-1547699361,269,8659047,171426,1,3355393,29703
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,3295975,70035,1,3355393,29764
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,8483030,203976,1,3355393,29826
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,58369824,869699,1,3355393,29888
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,33552223,652354,1,3355393,29949
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,35300575,551598,1,3355393,30010
0,0,63,0,714499313,1134173761,714499313,538,24,-1547699361,269,41350964,740636,1,3355393,30072
0,0,63,0,714499313,1134173761,714499313,535,23,-1547699361,269,14119724,364841,1,3355393,30133
0,0,63,0,714499313,1134173761,714499313,532,23,-1547699361,269,27010638,591057,1,3355393,30195
0,0,63,0,714499313,1134173761,714499313,528,23,-1547699361,269,25581938,559247,1,3355393,30256
0,0,63,0,714499313,1134173761,714499313,523,23,-1547699361,268,40274867,720961,1,3355393,30317
0,0,63,0,714499313,1134173761,714499313,522,23,-1547699361,268,12537835,298638,1,3355393,30379
0,0,63,0,714499313,1134173761,714499313,522,23,-1547699361,268,41840003,724042,1,3355393,30440
0,0,63,0,714499313,1134173761,714499313,522,23,-1547699361,268,26628810,455040,1,3355393,30502
0,0,63,0,714499313,1134173761,714499313,522,23,-1547699361,268,18902738,385482,1,3355393,30563
