@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
0,0,63,0,-684269794,-1074813945,-1074813945,237,23,-1074813945,110,0,0,1,3344016,79130
1,1,-684269794,1,-684269794,-684269794,-1074813945,238,23,-1074813945,110,4358,8105,1,3344016,79190
1,1,-1074813945,1,-1074813945,-684269794,-1074813945,239,23,-1074813945,111,847,1349,1,3344016,79250
1,1,-1074813945,1,-1074813945,-1074813945,-1074813945,240,23,-1074813945,112,146349,25943,1,3344016,79311
2,1,1156888975,2,1156888975,1156888975,1156888975,242,23,-1074813945,112,21929,11772,1,3344016,79372
1,1,-1074813945,1,-1074813945,1156888975,-1074813945,243,23,-1074813945,113,107294,19254,1,3344016,79433
0,0,63,0,-1074813945,1156888975,-1074813945,243,23,-1074813945,113,25962,11808,1,3344016,79493
6,5,-1074813945,2,-1354875355,1156888975,1156888975,213,25,-1074813945,84,7009790564,114400126,1,3273460,37901
2,2,-1897170512,1,-1897170512,-1074813945,-1074813945,215,25,-1074813945,85,107326,69524,1,3273460,37961
1,1,-1897170512,1,-1897170512,-1897170512,-1074813945,216,25,-1074813945,85,181895,25373,1,3273460,38056
3,3,-662003450,1,-662003450,-1074813945,-1074813945,218,25,-1074813945,86,4536471,90416,1,3273460,38195
0,0,63,0,-662003450,-1074813945,-1074813945,218,25,-1074813945,86,3648963,141165,1,3273460,38256
5,3,1156888975,2,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,778443,78203,1,3273460,38316
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,748686,52205,1,3273460,38377
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,11773409,225270,1,3273460,38437
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,9344453,240928,1,3273460,38498
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,9249834,206162,1,3273460,38558
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,6632941,156887,1,3273460,38619
0,0,63,0,-662003450,-1074813945,-1074813945,223,25,-1074813945,88,7529377,206337,1,3273460,38679
0,0,63,0,-1074813945,-662003450,-1074813945,224,25,-1074813945,89,10005971,278611,1,3273460,38907
6,3,-2132585713,3,-1074813945,-543674259,-1074813945,231,25,-1074813945,92,2099372,357919,1,3273460,38972
4,3,-1074813945,2,-1074813945,1153658444,-1074813945,233,25,-1074813945,93,592730,60226,1,3273460,39021
0,0,63,0,-1074813945,1153658444,-1074813945,233,25,-1074813945,93,52105,29201,1,3273460,39144
1,1,-1074813945,1,-1074813945,-1074813945,-1074813945,234,25,-1074813945,94,70261,33685,1,3273460,39634
0,0,63,0,-1074813945,-1074813945,-1074813945,227,24,-1074813945,91,5990846,180956,1,3273460,41634
0,0,63,0,-1074813945,-1074813945,-1074813945,227,24,-1074813945,91,87218,9056,1,3273460,41694
2,2,-1897170512,1,-1897170512,-1074813945,-1074813945,229,24,-1074813945,92,112347,14322,1,3273460,41780
4,3,1153658444,2,-1074813945,-1897170512,-1074813945,233,24,-1074813945,93,532655,128644,1,3273460,41841
5,4,-1074813945,2,-1074813945,-695601689,-1074813945,235,25,-1074813945,94,1119,1997,1,3273460,41889
2,2,-1897170512,1,-1897170512,-1074813945,-1074813945,212,21,-1074813945,86,855874,367946,1,3273460,49859
0,0,63,0,-1897170512,-1074813945,-1074813945,212,21,-1074813945,86,4529,9521,1,3273460,49919
0,0,63,0,-1897170512,-1074813945,-1074813945,212,21,-1074813945,86,50049,25745,1,3273460,49980
0,0,63,0,-1897170512,-1074813945,-1074813945,212,21,-1074813945,86,8824,14091,1,3273460,50040
0,0,63,0,-1897170512,-1074813945,-1074813945,212,21,-1074813945,86,10202,15158,1,3273460,50101
2,2,-1897170512,1,-1897170512,-1074813945,-1074813945,214,21,-1074813945,87,33617,21952,1,3273460,50162
1,1,-1074813945,1,-1074813945,-1897170512,-1074813945,215,21,-1074813945,88,4804514,111806,1,3273460,50222
3,3,-1074813945,1,998473937,-1547699361,-1074813945,218,21,-1074813945,89,1335037,192220,1,3273460,51466
1,1,998473937,1,998473937,998473937,-1074813945,217,21,-1074813945,88,2391282,570325,1,3273460,56572
0,0,63,0,-1074813945,-1897170512,-1074813945,221,21,-1074813945,90,943292,173457,1,3273460,56713
1,1,-1074813945,1,-1074813945,-1074813945,-1074813945,222,21,-1074813945,91,117950,29491,1,3273460,56828
1,1,-1074813945,1,-1074813945,1156888975,-1074813945,225,21,-1074813945,92,55549,21989,1,3273460,56905
1,1,-1074813945,1,-1074813945,-1074813945,-1074813945,226,21,-1074813945,93,19051,39281,1,3273460,57155
