@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
8,3,1156888975,3,-1547699361,-684269794,-1547699361,197,18,-1547699361,61,0,0,1,3344016,58520
3,3,-662003450,1,-662003450,1698344559,-662003450,215,18,-1547699361,76,5038262,552078,1,3344016,58987
4,3,-662003450,2,-662003450,-662003450,-662003450,219,19,-1547699361,76,31366715,1778973,1,3344016,59669
0,0,63,0,-662003450,-662003450,-662003450,230,19,-1547699361,81,17462049,730701,1,3344016,60359
1,1,-662003450,1,-662003450,-662003450,-662003450,231,19,-1547699361,81,29850,31095,1,3344016,60423
0,0,63,0,-662003450,1698344559,-662003450,231,19,-1547699361,82,3119192,189298,1,3344016,60533
0,0,63,0,-662003450,-662003450,-662003450,230,19,-1547699361,82,6711510,490602,1,3344016,61000
0,0,63,0,-662003450,-662003450,-662003450,230,19,-1547699361,82,2060732,81655,1,3344016,61064
0,0,63,0,-662003450,-662003450,-662003450,230,19,-1547699361,82,6254216,144988,1,3344016,61135
3,2,-1547699361,2,-1547699361,-684269794,-1547699361,370,17,-1547699361,118,380191418,22974060,1,3355393,55003
3,3,-684269794,1,1698344559,-684269794,-1547699361,373,17,-1547699361,119,20941,8688,1,3355393,55066
1,1,-662003450,1,-662003450,-662003450,-662003450,345,15,-662003450,110,30406395,1717231,1,3355393,61380
2,2,-687090306,1,-687090306,1698344559,1698344559,359,15,-662003450,122,46914396,1753784,1,3355393,64628
2,2,-662003450,1,-1547699361,-662003450,-1547699361,378,15,-662003450,125,7199458,626378,1,3355393,68966
2,2,1698344559,1,1698344559,-1547699361,-1547699361,390,16,-662003450,129,5389326,264473,1,3355393,69605
0,0,63,0,1698344559,-662003450,-1547699361,385,16,-662003450,128,1646555,134629,1,3355393,70619
2,2,1698344559,1,1698344559,-1547699361,-1547699361,380,16,-662003450,127,1119378,123953,1,3355393,71552
1,1,-695601689,1,-695601689,1156888975,-695601689,303,16,-1547699361,107,0,0,1,3273460,59860
3,3,256457446,1,1534272944,568722390,1698344559,309,17,-1547699361,116,10160743,1601895,1,3273460,61220
4,3,-1547699361,2,1698344559,-1547699361,-1547699361,319,17,-1547699361,129,158112,395727,1,3273460,61690
1,1,-2069845153,1,-2069845153,1698344559,299475319,320,18,-1547699361,129,27424,213813,1,3273460,61781
0,0,63,0,-662003450,-2069845153,-662003450,321,18,-1547699361,129,3302633,671212,1,3273460,61847
0,0,63,0,-662003450,-2069845153,-662003450,321,18,-1547699361,129,437688,63707,1,3273460,61913
0,0,63,0,-662003450,-2069845153,-662003450,321,18,-1547699361,129,688462,32395,1,3273460,61979
1,1,-1547699361,1,-1547699361,1698344559,-1547699361,323,18,-1547699361,130,612125,56633,1,3273460,62045
3,2,1698344559,2,1698344559,1698344559,-1547699361,326,18,-1547699361,131,162073,101995,1,3273460,62123
0,0,63,0,256457446,1297962421,1698344559,332,18,-1547699361,133,20612533,398966,1,3273460,63573
1,1,256457446,1,256457446,256457446,1698344559,315,18,-1547699361,124,0,2176,1,3273460,64394
4,2,-1547699361,3,-1547699361,-684269794,-1547699361,422,21,-1547699361,158,178447527,8862359,1,3273460,83714
5,4,-687090306,2,-687090306,1156888975,1698344559,421,20,-1547699361,161,28573972,976197,1,3273460,84566
0,0,63,0,-687090306,-687090306,1698344559,422,20,-1547699361,161,4649778,238562,1,3273460,86375
0,0,63,0,-687090306,-687090306,1698344559,422,20,-1547699361,161,127594,68092,1,3619420,1806
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,422,19,-1547699361,162,0,0,1,3619420,28821
3,2,1698344559,2,1698344559,1698344559,-1547699361,425,19,-1547699361,163,74569,45510,1,3619420,28878
0,0,63,0,1698344559,-1547699361,-1547699361,423,19,-1547699361,162,115133,411052,1,3619420,29808
0,0,63,0,-662003450,1698344559,-662003450,413,18,-1547699361,162,18788941,614254,1,3619420,30533
2,2,-1872735843,1,-1872735843,1156888975,1156888975,415,19,-1547699361,162,21836,55705,1,3619420,30584
5,2,1156888975,4,1156888975,1156888975,1156888975,422,19,-1547699361,162,3768,1492,1,3619420,30650
7,4,1156888975,4,-662003450,1698344559,-662003450,429,19,-1547699361,162,4567388,161174,1,3619420,30716
