@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
2,2,1156888975,1,-684269794,1156888975,1156888975,213,18,-662003450,66,0,0,1,3344016,74612
1,1,-1897170512,1,-1897170512,-684269794,-662003450,214,18,-662003450,66,29433,26958,1,3344016,74675
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,219,18,-1547699361,69,5895214,772640,1,3344016,82062
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,203,15,-1547699361,70,628097,672502,1,3344016,84035
0,0,63,0,328305523,-1547699361,-1547699361,204,16,-1547699361,70,78552,25006,1,3344016,84102
0,0,63,0,328305523,-1547699361,-1547699361,204,16,-1547699361,70,7642,4963,1,3344016,84169
0,0,63,0,328305523,-1547699361,-1547699361,204,16,-1547699361,70,2651,1682,1,3344016,84235
1,1,328305523,1,328305523,328305523,328305523,204,16,-1547699361,70,413062,78567,1,3344016,84302
0,0,63,0,328305523,328305523,328305523,204,16,-1547699361,70,17394,24390,1,3344016,84368
0,0,63,0,328305523,328305523,328305523,204,16,-1547699361,70,9502,5819,1,3344016,84434
1,1,328305523,1,328305523,328305523,328305523,205,16,-1547699361,70,118559,141757,1,3344016,84501
0,0,63,0,328305523,328305523,328305523,205,16,-1547699361,70,46419,43875,1,3344016,84567
1,1,328305523,1,328305523,328305523,328305523,206,16,-1547699361,70,109294,106464,1,3344016,84633
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,13679,9139,1,3344016,84700
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,13237,11810,1,3344016,84766
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,9044,4577,1,3344016,84832
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,14339,4893,1,3344016,84898
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,6255,6480,1,3344016,84964
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,80160,25728,1,3344016,85031
0,0,63,0,328305523,328305523,328305523,206,16,-1547699361,70,9651,6217,1,3344016,85097
