@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
3,2,-1547699361,2,-1547699361,-684269794,-1547699361,517,26,-1547699361,274,0,0,1,3344016,66398
4,2,-1547699361,3,-1547699361,-684269794,-1547699361,520,26,-1547699361,276,23795,18841,1,3344016,66461
8,3,-1547699361,4,-1547699361,-1547699361,-1547699361,526,27,-1547699361,279,88380,22825,1,3344016,66527
4,2,1453488688,2,-1547699361,-1547699361,-1547699361,539,27,-1547699361,289,57071,89726,1,3344016,66737
4,1,-1547699361,4,-1547699361,-1547699361,-1547699361,546,27,-1547699361,299,61363,30179,1,3344016,66877
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,550,27,-1547699361,304,8808889,902829,1,3344016,69210
6,3,-1547699361,3,-1547699361,-1958346218,-1547699361,508,27,-1547699361,292,5871727,346638,1,3344016,70666
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,518,28,-1547699361,297,5427352,85490,1,3344016,71454
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,518,28,-1547699361,299,355646,441942,1,3344016,72004
2,2,-1958346218,1,-1958346218,-1627072508,-1958346218,517,28,-1547699361,297,9251400,248668,1,3344016,72664
3,3,-1958346218,1,-1958346218,-1627072508,-1627072508,517,28,-1547699361,298,26358363,303929,1,3344016,74012
5,2,-1547699361,4,-1378625783,-1547699361,-1378625783,517,28,-1547699361,296,27372489,469666,1,3344016,74981
0,0,63,0,613209156,1695073577,40719148,508,28,-1547699361,289,0,0,1,3344016,75839
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,512,28,-1547699361,292,54283,51941,1,3344016,75995
6,5,-1893879242,2,-1893879242,1156888975,-1893879242,520,29,-1547699361,295,674195,202549,1,3344016,76182
1,1,1106836270,1,1106836270,-1893879242,-1378625783,521,29,-1547699361,295,461536,174025,1,3344016,76274
0,0,63,0,256457446,1106836270,-1547699361,531,29,-1547699361,297,9845087,1746304,1,3344016,76701
0,0,63,0,-662003450,-662003450,-1547699361,537,29,-1547699361,293,22585301,1757996,1,3344016,78759
1,1,-1547699361,1,-1547699361,-662003450,-1547699361,538,29,-1547699361,294,7364060,271133,1,3344016,78820
7,3,-1893879242,5,-662003450,1698344559,-1547699361,556,29,-1547699361,299,2514188,302350,1,3344016,79384
3,3,-543674259,1,-141674260,1453488688,-141674260,562,29,-1547699361,301,84131106,2039616,1,3344016,80202
4,3,-1547699361,2,-1547699361,-1547699361,-1547699361,573,31,-1547699361,303,2307504,164089,1,3344016,80390
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,566,31,-1547699361,298,52170216,1314482,1,3344016,81577
5,3,1698344559,2,1698344559,-1547699361,-1547699361,580,31,-1547699361,303,5922132,895580,1,3344016,85631
0,0,63,0,1695073577,1695073577,1695073577,583,31,-1547699361,303,256480,173158,1,3355393,2219
0,0,63,0,1695073577,1695073577,1695073577,584,31,-1547699361,303,1336457,728624,1,3355393,11157
1,1,1695073577,1,1695073577,1695073577,1695073577,581,31,-1547699361,301,1451774,571352,1,3355393,24310
0,0,63,0,1156888975,1698344559,1156888975,595,31,-1547699361,303,0,0,1,3355393,42744
1,1,-1547699361,1,-1547699361,1156888975,-1547699361,596,31,-1547699361,304,82604,439706,1,3355393,42935
0,0,63,0,-1547699361,-1547699361,-1547699361,597,31,-1547699361,305,30099,9653,1,3355393,43054
2,2,-141674260,1,-141674260,-1547699361,-141674260,596,31,-1547699361,306,731015,197779,1,3355393,44545
1,1,-141674260,1,-141674260,-141674260,-141674260,597,31,-1547699361,306,201380,70563,1,3355393,44652
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,604,31,-1547699361,313,217258,86836,1,3355393,44971
2,2,40719148,1,40719148,-1547699361,40719148,636,32,-1547699361,337,5261724,1268078,1,3355393,46983
0,0,63,0,-1547699361,-662003450,-1547699361,641,32,-1547699361,341,9112151,440098,1,3355393,47341
2,2,-1046965711,1,-1046965711,-1958346218,-1046965711,646,32,-1547699361,347,13066606,619579,1,3355393,49160
1,1,1011745416,1,1011745416,-1046965711,-1046965711,653,33,-1547699361,348,118543,78148,1,3355393,49390
1,1,1011745416,1,1011745416,-1046965711,-1046965711,653,33,-1547699361,348,54289,28570,1,3355393,49396
0,0,63,0,1011745416,-1046965711,-1046965711,653,33,-1547699361,348,34291,23146,1,3355393,49566
