@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
2,2,1156888975,1,-684269794,1156888975,1156888975,181,17,-1547699361,34,0,0,1,3355393,36140
1,1,-930852322,1,-930852322,-684269794,256457446,182,17,-1547699361,34,1395066,60751,1,3355393,36201
0,0,63,0,-930852322,-684269794,256457446,182,17,-1547699361,34,17548,12944,1,3355393,36262
0,0,63,0,-930852322,-684269794,256457446,176,17,994297303,31,957679,533484,1,3355393,41040
1,1,-1958346218,1,-1958346218,-930852322,256457446,177,17,994297303,31,41952,33864,1,3355393,41102
1,1,256457446,1,256457446,-1958346218,-1958346218,178,17,994297303,31,5162275,917556,1,3355393,41163
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,3074864,592540,1,3355393,41224
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,34932,49505,1,3355393,41286
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,2369455,674009,1,3355393,41347
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,1353854,365906,1,3355393,41408
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,179009,80012,1,3355393,41470
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,1172472,396846,1,3355393,41531
0,0,63,0,256457446,-1958346218,-1958346218,178,17,994297303,31,39871,36011,1,3355393,41593
1,1,256457446,1,256457446,256457446,-1958346218,172,17,994297303,31,620942,375442,1,3355393,44374
0,0,63,0,256457446,256457446,-1958346218,172,17,994297303,31,224186,67539,1,3355393,44435
0,0,63,0,256457446,256457446,-1958346218,172,17,994297303,31,10591,18680,1,3355393,44497
2,2,-1958346218,1,-1958346218,256457446,256457446,174,17,994297303,31,284066,150057,1,3355393,44748
0,0,63,0,-1958346218,256457446,256457446,173,17,994297303,31,396076,241843,1,3355393,47175
0,0,63,0,-1958346218,256457446,256457446,173,17,994297303,31,15595,8635,1,3355393,47225
1,1,994297303,1,994297303,-1958346218,994297303,174,17,994297303,32,216532,151583,1,3355393,48235
0,0,63,0,994297303,-1958346218,994297303,174,17,994297303,32,21284,13129,1,3355393,48295
0,0,63,0,994297303,-1958346218,994297303,174,17,994297303,32,73123,54974,1,3355393,48356
0,0,63,0,994297303,-1958346218,994297303,173,17,994297303,32,10425,10051,1,3355393,48418
0,0,63,0,994297303,-1958346218,994297303,173,17,994297303,32,59096,16882,1,3355393,48503
1,1,-1547699361,1,-1547699361,994297303,-1547699361,174,17,994297303,32,9548,7923,1,3355393,48573
2,2,-1547699361,1,994297303,-1547699361,994297303,176,17,994297303,33,39185,52749,1,3355393,48739
0,0,63,0,994297303,-1547699361,994297303,176,17,994297303,33,2353,5512,1,3355393,48801
0,0,63,0,994297303,-1547699361,994297303,176,17,994297303,33,1112,1905,1,3355393,48862
0,0,63,0,994297303,-1547699361,994297303,176,17,994297303,33,56829,35364,1,3355393,49128
1,1,994297303,1,994297303,994297303,994297303,174,17,994297303,34,51012,46353,1,3355393,49325
1,1,994297303,1,994297303,994297303,994297303,175,17,994297303,35,15295,12273,1,3355393,49411
1,1,994297303,1,994297303,994297303,994297303,176,17,994297303,36,3155,4070,1,3355393,49474
0,0,63,0,994297303,994297303,994297303,176,17,994297303,36,18810,9822,1,3355393,49536
1,1,994297303,1,994297303,994297303,994297303,176,17,994297303,37,37405,42354,1,3355393,49611
1,1,994297303,1,994297303,994297303,994297303,175,17,994297303,38,7276,4983,1,3355393,49674
0,0,63,0,994297303,994297303,994297303,175,17,994297303,38,2288,3601,1,3355393,49736
2,2,-1547699361,1,-1547699361,994297303,-1547699361,176,17,994297303,39,46308,28336,1,3355393,49868
0,0,63,0,-1547699361,994297303,-1547699361,175,17,994297303,39,2144,3529,1,3355393,49930
0,0,63,0,-1547699361,994297303,-1547699361,175,17,994297303,39,72196,39714,1,3355393,50390
0,0,63,0,-1547699361,994297303,-1547699361,171,17,994297303,38,26444,41474,1,3355393,50809
4,2,-1547699361,2,714499313,714499313,714499313,171,17,994297303,36,1690595,142314,1,3355393,50874
1,1,714499313,1,714499313,714499313,714499313,163,17,994297303,36,1527320,476751,1,3355393,53545
1,1,994297303,1,994297303,714499313,994297303,164,17,994297303,37,610658,240855,1,3355393,55111
1,1,994297303,1,994297303,994297303,994297303,165,17,994297303,38,10880,13382,1,3355393,55173
3,2,994297303,2,890187460,994297303,890187460,166,17,994297303,40,3255602,51475,1,3355393,55234
2,2,890187460,1,-1547699361,890187460,-1547699361,167,17,994297303,40,3702234,58051,1,3355393,55296
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,169,17,994297303,40,25019,16709,1,3355393,55358
1,1,-2099846372,1,-2099846372,-1547699361,-2099846372,163,17,994297303,40,446241,445344,1,3355393,55419
0,0,63,0,-2099846372,-1547699361,-2099846372,163,17,994297303,40,54301,43771,1,3355393,55480
0,0,63,0,-2099846372,-1547699361,-2099846372,163,17,994297303,40,68297,137744,1,3355393,55541
1,1,-1547699361,1,-1547699361,-2099846372,-1547699361,164,17,994297303,40,64769,127435,1,3355393,55602
4,3,1513992955,2,-2075712516,1513992955,-2075712516,168,17,994297303,40,3833570,151781,1,3355393,55663
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,16153636,139409,1,3355393,55725
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5308084,32338,1,3355393,55786
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5319163,41048,1,3355393,55848
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4483453,27769,1,3355393,55910
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5671472,43239,1,3355393,55971
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5528073,39190,1,3355393,56033
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4492972,55807,1,3355393,56095
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,3789803,24583,1,3355393,56157
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4509000,45923,1,3355393,56218
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4454781,34392,1,3355393,56280
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5355200,38084,1,3355393,56342
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4977660,26234,1,3355393,56404
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4807838,27037,1,3355393,56466
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,4835057,33811,1,3355393,56527
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,3352366,24316,1,3355393,56589
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,14814,22003,1,3355393,56651
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,12380496,177784,1,3355393,56712
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5213746,29567,1,3355393,56775
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,2168951,53630,1,3355393,56836
0,0,63,0,-2075712516,1513992955,-2075712516,168,17,994297303,40,5807574,318029,1,3355393,56898
1,1,1513992955,1,1513992955,-2075712516,1513992955,169,17,994297303,40,51196373,1818982,1,3355393,57021
1,1,-1547699361,1,-1547699361,1513992955,-1547699361,170,17,994297303,40,209777,141983,1,3355393,57855
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,172,17,994297303,40,8220,9530,1,3355393,57917
