@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
1,1,-1547699361,1,-1547699361,-684269794,-1547699361,678,22,-1547699361,290,0,0,1,3344016,68224
1,1,-684269794,1,-684269794,-1547699361,-1547699361,680,22,-1547699361,291,16862,10913,1,3344016,68302
4,2,-1547699361,3,-684269794,-1547699361,-1547699361,684,22,-1547699361,295,29509,9892,1,3344016,68374
2,2,1156888975,1,1156888975,-1354875355,1156888975,688,22,-1547699361,299,58998,26712,1,3344016,68613
0,0,63,0,-1354875355,-1354875355,-662003450,693,22,-1547699361,299,2932314,413169,1,3344016,68846
3,3,-662003450,1,-662003450,-684269794,-662003450,690,22,-1547699361,297,367805,117999,1,3344016,69818
2,2,-684269794,1,-684269794,-1547699361,-1547699361,662,20,-1547699361,276,7850555,854031,1,3344016,76645
1,1,-1354875355,1,-1354875355,-662003450,-662003450,658,20,-1547699361,277,22776313,657043,1,3344016,76886
6,4,1698344559,2,-1547699361,-684269794,-1547699361,630,17,-1547699361,278,103838795,5091763,1,3344016,81489
3,3,-684269794,1,1698344559,-684269794,-662003450,700,17,-1547699361,306,77735665,3551269,1,3344016,85198
4,3,-1547699361,2,1695073577,-1547699361,1695073577,686,17,-1547699361,310,7807714,302275,1,3344016,85582
0,0,63,0,1695073577,-1547699361,1695073577,658,17,-1547699361,306,0,0,1,3355393,24517
4,4,-2004763571,1,-2004763571,-684269794,-2004763571,646,17,-1547699361,299,317977680,3975798,1,3355393,31344
4,3,-1547699361,2,-684269794,-2004763571,-1547699361,638,16,-1547699361,289,1602905,212900,1,3355393,35855
3,3,299475319,1,299475319,1698344559,299475319,646,16,-1547699361,287,114187,242345,1,3355393,37606
2,2,-684269794,1,1698344559,-684269794,-662003450,650,16,-1547699361,283,420451,226994,1,3355393,38534
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,664,16,-1547699361,290,228317,85819,1,3355393,39756
3,3,-662003450,1,-684269794,-662003450,-1547699361,687,17,-1547699361,301,5552631,556891,1,3355393,40951
2,1,-1473378771,2,-1473378771,-1473378771,-1473378771,697,17,-1547699361,305,872439,402347,1,3355393,41488
1,1,-684269794,1,-684269794,-662003450,-1547699361,737,17,-1547699361,308,14169246,1569630,1,3355393,42495
0,0,63,0,-2075712516,-662003450,1698344559,741,17,-1547699361,308,47825493,496176,1,3355393,42814
2,2,-684269794,1,-684269794,1698344559,-1547699361,728,17,-1547699361,294,396172939,7741867,1,3355393,49364
0,0,63,0,-662003450,-1547699361,-662003450,676,15,-1547699361,279,26651996,773103,1,3355393,52647
