@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
8,3,1698344559,4,-684269794,1698344559,1698344559,481,19,-1547699361,144,0,0,1,3344016,56178
4,3,299475319,2,299475319,299475319,299475319,528,18,-1547699361,196,22919802,486019,1,3344016,58207
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,532,18,-1547699361,200,39117,80111,1,3344016,58281
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,538,18,-1547699361,206,10602,27549,1,3344016,58387
6,1,-1547699361,6,-1547699361,-1547699361,-1547699361,545,18,-1547699361,213,87365774,526201,1,3344016,58488
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,569,18,-1547699361,235,252709407,1597212,1,3344016,58998
0,0,63,0,299475319,1698344559,299475319,574,19,-1547699361,237,18690,8128,1,3344016,59093
2,2,299475319,1,299475319,1698344559,299475319,576,19,-1547699361,237,8689,3007,1,3344016,59150
8,4,1698344559,3,1698344559,299475319,-1547699361,586,19,-1547699361,240,7173,4791,1,3344016,59346
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,598,19,-1547699361,248,190948,59689,1,3344016,60725
1,1,-662003450,1,-662003450,1698344559,1698344559,610,19,-1547699361,256,18562743,776511,1,3344016,62761
2,2,1698344559,1,-1547699361,1698344559,-1547699361,609,19,-1547699361,260,11757418,532146,1,3344016,63595
4,3,-1547699361,2,299475319,1698344559,299475319,634,19,-1547699361,279,115840,198473,1,3344016,64665
4,2,299475319,2,-1547699361,299475319,-1547699361,638,19,-1547699361,281,15814,10734,1,3344016,64799
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,649,19,-1547699361,286,78821,610979,1,3344016,64991
1,1,-1547699361,1,-1547699361,1698344559,-1547699361,672,19,-1547699361,297,92888,97649,1,3344016,66415
3,3,-543674259,1,-1874619167,-543674259,-543674259,676,21,-1547699361,301,412970,81138,1,3344016,66905
