@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA
0.48,9.80,-0.21,9.82,0.82,10.00,0.42,10.01,0.13,9.54,-1.17,9.61,0.01,0.00,0.06,0.00,0.69,0.46,1.58,0.40,-0.00,0.00,-0.00,0.09,0.17,0.19,0.07,0.27,-0.20,-0.17,-0.09,0.01,0.00,0.00,0.00,0.00,0.37,0.37,0.17,0.26,3273460,53849,1
0.45,9.77,-0.52,9.81,1.04,10.10,-0.02,10.16,0.09,8.54,-1.89,8.75,0.01,0.01,0.05,0.01,0.95,1.56,1.87,1.41,0.01,-0.01,-0.00,0.07,0.20,0.10,0.10,0.28,-0.16,-0.23,-0.08,0.01,0.00,0.00,0.00,0.00,0.36,0.32,0.18,0.28,3273460,53870,1
0.48,9.79,-0.02,9.82,1.19,10.08,1.49,10.20,-0.00,9.50,-0.99,9.55,0.04,0.01,0.15,0.01,1.19,0.59,2.48,0.66,0.01,-0.01,0.00,0.15,0.26,0.31,0.13,0.59,-0.49,-0.32,-0.12,0.04,0.01,0.01,0.00,0.01,0.75,0.64,0.25,0.55,3273460,53890,1
0.55,9.78,-0.52,9.82,0.91,10.04,0.62,10.07,-0.16,9.46,-1.48,9.56,0.02,0.01,0.10,0.01,1.07,0.58,2.10,0.51,0.01,-0.00,-0.01,0.12,0.26,0.53,0.11,0.55,-0.17,-0.33,-0.09,0.01,0.01,0.01,0.00,0.01,0.44,0.86,0.20,0.54,3273460,53911,1
0.45,9.79,-0.18,9.81,0.73,9.93,0.29,9.94,0.24,8.75,-0.59,8.76,0.01,0.01,0.03,0.01,0.49,1.18,0.88,1.18,0.01,0.00,-0.00,0.06,0.14,0.15,0.03,0.23,-0.09,-0.16,-0.07,0.01,0.00,0.00,0.00,0.00,0.24,0.30,0.10,0.22,3273460,53931,1
0.51,9.77,-0.69,9.82,1.33,10.26,0.45,10.38,-0.43,9.49,-1.90,9.55,0.05,0.01,0.11,0.01,1.76,0.77,2.35,0.84,0.00,-0.00,-0.00,0.13,0.28,0.27,0.08,0.34,-0.28,-0.25,-0.12,0.02,0.01,0.01,0.00,0.00,0.56,0.52,0.21,0.32,3273460,53952,1
-0.25,9.78,0.67,9.81,0.75,10.34,1.39,10.47,-1.29,9.24,-0.01,9.31,0.13,0.02,0.06,0.03,2.04,1.10,1.40,1.16,-0.01,0.00,0.00,0.14,0.19,0.76,0.18,0.85,-0.28,-0.42,-0.36,0.01,0.00,0.02,0.01,0.02,0.48,1.17,0.54,0.84,3273460,53973,1
0.50,9.74,0.85,9.81,1.03,10.16,2.23,10.36,-0.84,9.27,0.14,9.43,0.15,0.02,0.27,0.01,1.87,0.89,2.09,0.93,-0.01,-0.01,-0.01,0.19,0.29,0.46,0.16,0.81,-0.42,-0.77,-0.49,0.01,0.02,0.03,0.01,0.03,0.71,1.23,0.65,0.79,3273460,53993,1
-0.72,9.76,0.52,9.81,0.18,10.41,1.34,10.51,-2.02,9.20,-0.78,9.33,0.15,0.01,0.14,0.01,2.21,1.21,2.12,1.18,0.01,0.01,-0.01,0.27,0.64,0.96,0.14,1.15,-0.42,-0.86,-0.19,0.01,0.02,0.10,0.00,0.06,1.06,1.82,0.33,1.14,3273460,54014,1
-1.05,9.72,0.69,9.81,-0.80,10.03,1.93,10.21,-1.34,9.46,-0.36,9.56,0.01,0.00,0.06,0.00,0.54,0.57,2.29,0.65,0.00,0.04,0.00,0.20,0.26,1.17,0.10,1.18,-0.34,-0.64,-0.08,0.02,0.01,0.07,0.00,0.04,0.60,1.81,0.18,1.16,3273460,54034,1
-0.31,9.77,0.77,9.81,-0.01,10.11,2.14,10.19,-0.68,9.44,-0.56,9.57,0.01,0.00,0.14,0.00,0.68,0.66,2.70,0.62,-0.00,0.03,0.00,0.15,0.33,0.83,0.06,0.84,-0.45,-0.25,-0.07,0.01,0.01,0.03,0.00,0.02,0.78,1.08,0.13,0.82,3273460,54055,1
-0.40,9.75,0.91,9.81,-0.19,9.85,1.54,9.92,-0.59,9.64,0.17,9.69,0.00,0.00,0.09,0.00,0.40,0.21,1.37,0.22,-0.00,-0.00,-0.00,0.13,0.52,0.77,0.14,0.94,-0.41,-0.29,-0.08,0.02,0.01,0.02,0.00,0.02,0.92,1.06,0.22,0.92,3273460,54075,1
-0.66,8.69,3.96,9.84,0.36,10.21,6.30,10.92,-1.46,7.33,-1.14,8.61,0.13,0.55,4.35,0.11,1.82,2.88,7.44,2.31,-0.10,-0.02,-0.02,0.28,0.29,1.20,0.31,1.99,-1.57,-1.17,-0.78,0.02,0.08,0.07,0.02,0.12,1.86,2.36,1.09,1.97,3273460,54096,1
-0.06,9.60,1.98,9.80,0.01,9.65,2.11,9.87,-0.11,9.54,1.87,9.74,0.00,0.00,0.00,0.00,0.12,0.11,0.25,0.13,0.00,-0.00,-0.00,0.02,0.03,0.03,0.01,0.04,-0.02,-0.04,-0.01,0.01,0.00,0.00,0.00,0.00,0.04,0.07,0.02,0.03,3273460,54116,1
-0.01,9.78,0.73,9.81,0.08,9.84,1.07,9.90,-0.13,9.70,0.30,9.71,0.00,0.00,0.02,0.00,0.21,0.14,0.77,0.19,0.01,0.00,-0.00,0.06,0.25,0.18,0.03,0.32,-0.12,-0.08,-0.03,0.01,0.00,0.00,0.00,0.00,0.38,0.26,0.06,0.31,3273460,54137,1
-0.23,9.79,0.45,9.81,0.11,9.90,0.81,9.93,-0.81,9.62,-0.13,9.65,0.12,0.00,0.04,0.00,0.91,0.28,0.94,0.28,-0.01,-0.01,-0.01,0.08,0.07,0.11,0.09,0.20,-0.09,-0.11,-0.17,0.01,0.00,0.00,0.00,0.00,0.16,0.22,0.26,0.18,3273460,54157,1
-0.03,9.77,0.78,9.82,0.30,9.91,1.87,9.95,-0.36,9.58,0.19,9.72,0.01,0.00,0.25,0.00,0.65,0.33,1.67,0.23,0.00,-0.01,-0.00,0.13,0.18,0.22,0.15,0.39,-0.14,-0.35,-0.05,0.01,0.01,0.01,0.00,0.01,0.32,0.57,0.20,0.38,3273460,54178,1
0.49,9.80,0.03,9.82,1.03,10.04,0.82,10.08,-0.07,9.52,-0.76,9.55,0.02,0.01,0.05,0.01,1.09,0.52,1.58,0.53,-0.00,0.00,-0.01,0.07,0.21,0.16,0.08,0.23,-0.18,-0.18,-0.07,0.01,0.00,0.00,0.00,0.00,0.39,0.33,0.15,0.23,3273460,54306,1
0.29,9.80,0.48,9.83,0.74,10.49,1.39,10.57,-0.95,9.44,-0.91,9.49,0.05,0.02,0.13,0.02,1.69,1.05,2.30,1.07,0.00,0.01,-0.01,0.16,0.45,0.31,0.08,0.50,-0.43,-0.43,-0.10,0.03,0.01,0.02,0.00,0.01,0.88,0.74,0.18,0.47,3273460,54326,1
0.44,9.71,1.03,9.82,1.58,10.21,2.43,10.35,-0.16,8.06,-0.74,8.23,0.07,0.03,0.60,0.03,1.75,2.15,3.18,2.12,0.04,0.00,-0.01,0.20,0.35,0.55,0.16,0.62,-0.29,-0.62,-0.15,0.06,0.01,0.03,0.00,0.01,0.63,1.17,0.31,0.57,3273460,54347,1
0.33,9.73,0.90,9.81,0.74,10.15,2.46,10.23,-0.17,7.43,-0.37,7.49,0.03,0.04,0.33,0.04,0.91,2.72,2.83,2.74,0.03,0.01,-0.01,0.17,0.40,0.26,0.11,0.42,-0.27,-0.32,-0.12,0.04,0.01,0.01,0.00,0.01,0.67,0.57,0.23,0.38,3273460,54367,1
0.50,9.79,0.14,9.82,1.00,10.18,1.06,10.20,-0.95,8.14,-0.76,8.23,0.05,0.03,0.12,0.03,1.95,2.05,1.82,1.97,0.00,-0.01,-0.00,0.14,0.26,0.21,0.09,0.30,-0.24,-0.24,-0.09,0.03,0.01,0.01,0.00,0.00,0.50,0.45,0.18,0.27,3273460,54388,1
0.62,9.77,0.63,9.82,1.18,10.12,1.32,10.24,0.18,9.41,-0.24,9.46,0.02,0.02,0.08,0.02,1.00,0.71,1.57,0.78,0.01,-0.00,-0.01,0.12,0.21,0.32,0.10,0.38,-0.21,-0.21,-0.10,0.02,0.01,0.01,0.00,0.00,0.42,0.53,0.21,0.36,3273460,54408,1
-0.08,9.54,1.71,9.81,2.26,11.13,3.09,11.91,-3.77,8.66,-1.33,8.91,1.43,0.16,0.60,0.14,6.03,2.47,4.43,3.00,-0.01,-0.02,0.01,0.47,1.13,0.94,0.79,1.69,-0.72,-0.81,-1.20,0.05,0.10,0.09,0.13,0.13,1.85,1.75,1.98,1.65,3273460,54429,1
0.43,9.70,1.33,9.81,0.71,10.27,3.90,10.88,-0.30,9.27,0.20,9.32,0.01,0.01,0.13,0.03,1.00,1.00,3.70,1.57,0.01,0.01,-0.01,0.09,0.36,0.22,0.11,0.41,-0.36,-0.37,-0.09,0.01,0.01,0.01,0.00,0.01,0.72,0.59,0.20,0.40,3273460,54450,1
0.53,9.76,0.68,9.81,1.00,9.99,1.34,10.06,-0.04,8.86,-0.08,8.91,0.02,0.01,0.07,0.02,1.04,1.13,1.42,1.15,0.01,0.00,-0.00,0.11,0.19,0.17,0.10,0.31,-0.25,-0.18,-0.11,0.02,0.00,0.00,0.00,0.00,0.44,0.34,0.21,0.29,3273460,54470,1
0.61,9.77,0.77,9.82,0.78,10.02,1.12,10.05,0.16,9.66,-0.62,9.71,0.01,0.00,0.06,0.00,0.62,0.37,1.74,0.34,-0.00,0.00,-0.01,0.08,0.14,0.12,0.03,0.32,-0.17,-0.11,-0.03,0.02,0.00,0.00,0.00,0.00,0.31,0.23,0.06,0.29,3273460,54491,1
0.79,9.77,0.52,9.83,1.11,9.92,1.06,10.01,0.59,9.64,0.00,9.70,0.01,0.00,0.04,0.00,0.51,0.28,1.05,0.31,-0.02,-0.01,-0.01,0.11,0.09,0.11,0.04,0.26,-0.14,-0.22,-0.03,0.03,0.00,0.00,0.00,0.00,0.23,0.33,0.07,0.23,3273460,54511,1
0.73,9.37,2.48,9.81,2.11,9.92,4.55,10.02,-0.14,8.57,1.09,9.59,0.43,0.11,1.03,0.00,2.25,1.35,3.46,0.43,-0.04,-0.02,0.02,0.14,0.20,0.12,0.57,1.47,-1.04,-0.78,-0.11,0.01,0.04,0.02,0.01,0.07,1.24,0.89,0.68,1.46,3273460,54531,1
-0.52,9.13,3.47,9.80,0.40,9.72,4.11,10.05,-1.38,8.55,2.03,9.59,0.17,0.04,0.21,0.01,1.78,1.16,2.09,0.46,0.03,0.00,0.02,0.14,0.26,0.30,0.23,0.65,-0.12,-0.58,-0.08,0.01,0.01,0.01,0.00,0.02,0.38,0.88,0.31,0.65,3273460,54552,1
