@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
2.56,0.79,9.19,9.59,4.16,1.71,10.24,10.73,1.06,0.07,8.30,8.68,0.28,0.09,0.09,0.09,3.10,1.63,1.93,2.05,0.03,-0.04,0.00,0.13,0.33,0.16,0.13,0.47,-0.12,-0.21,-0.34,0.05,0.01,0.01,0.01,0.01,0.45,0.37,0.47,0.42,70909,35037,1
4.82,0.48,8.01,9.49,6.13,2.99,9.80,10.88,2.33,-1.45,5.98,8.01,0.58,1.52,0.50,0.31,3.80,4.43,3.82,2.87,0.00,0.00,-0.03,0.31,0.55,0.42,0.28,0.69,-0.44,-0.35,-0.37,0.04,0.03,0.03,0.02,0.02,0.99,0.76,0.64,0.66,70909,35058,1
3.61,1.64,8.62,9.50,4.69,2.61,9.13,9.92,3.19,0.87,7.78,9.20,0.07,0.10,0.04,0.02,1.51,1.74,1.36,0.71,0.00,-0.00,-0.01,0.11,0.13,0.45,0.14,0.48,-0.11,-0.15,-0.16,0.03,0.00,0.01,0.00,0.01,0.24,0.60,0.30,0.45,70909,35079,1
3.87,2.01,8.44,9.56,5.42,3.63,9.78,10.75,2.35,-0.31,7.33,8.14,0.25,0.84,0.18,0.24,3.07,3.94,2.45,2.61,0.12,-0.00,0.21,0.32,0.42,0.20,0.67,0.75,-0.34,-0.18,-0.05,0.06,0.02,0.01,0.03,0.02,0.76,0.38,0.72,0.69,70909,35099,1
4.18,2.07,8.23,9.52,6.31,3.62,9.97,11.51,2.91,0.51,6.13,7.55,0.51,0.50,0.38,0.35,3.40,3.11,3.84,3.96,0.02,-0.03,-0.03,0.25,0.39,0.30,0.24,0.53,-0.24,-0.18,-0.43,0.06,0.03,0.01,0.03,0.01,0.63,0.48,0.67,0.47,70909,35120,1
4.20,1.55,8.40,9.55,5.42,2.38,9.03,10.28,2.63,1.01,7.75,8.80,0.50,0.04,0.09,0.03,2.78,1.37,1.28,1.49,0.03,-0.03,-0.00,0.08,0.11,0.08,0.08,0.20,-0.04,-0.17,-0.15,0.02,0.00,0.00,0.00,0.00,0.16,0.25,0.22,0.17,70909,35141,1
4.42,-0.60,8.35,9.66,7.50,2.90,12.12,13.74,-1.56,-4.16,2.18,2.81,1.18,1.87,1.69,1.61,9.06,7.06,9.93,10.93,-0.07,0.02,-0.05,0.64,0.80,1.01,0.44,2.36,-2.13,-0.62,-1.09,0.09,0.26,0.06,0.10,0.20,2.93,1.63,1.52,2.27,70909,35161,1
3.86,-1.77,8.50,9.53,5.30,-1.15,9.95,11.36,2.14,-2.72,6.25,7.12,0.22,0.10,0.60,0.59,3.16,1.57,3.70,4.25,0.02,-0.02,-0.01,0.29,0.35,0.33,0.33,0.86,-0.30,-0.25,-0.75,0.10,0.02,0.01,0.04,0.01,0.65,0.58,1.08,0.76,70909,35183,1
3.94,-2.40,8.44,9.73,7.33,0.11,13.20,15.17,1.73,-6.10,4.46,5.20,1.98,1.03,5.25,6.17,5.60,6.21,8.74,9.97,-0.07,0.03,-0.25,0.84,1.30,0.46,0.77,1.51,-0.92,-0.55,-1.22,0.25,0.19,0.06,0.30,0.09,2.22,1.01,1.98,1.26,70909,35203,1
2.96,-0.49,9.15,9.75,5.57,1.41,14.33,14.60,0.56,-2.93,5.65,6.07,1.30,0.91,5.23,5.35,5.01,4.34,8.68,8.54,0.03,0.00,-0.02,0.64,0.67,0.50,0.83,1.27,-0.41,-0.56,-1.13,0.20,0.05,0.04,0.26,0.05,1.08,1.06,1.96,1.07,70909,35224,1
