@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.64,7.40,7.01,10.24,0.94,7.86,8.05,10.86,-1.46,6.72,6.36,9.68,0.24,0.05,0.08,0.04,2.40,1.14,1.69,1.18,-0.01,0.00,0.01,0.20,0.45,0.43,0.42,0.96,-0.52,-0.79,-0.19,0.02,0.01,0.03,0.01,0.02,0.96,1.22,0.61,0.93,3089196,83755,1
0.18,8.80,5.35,10.32,0.58,9.41,5.73,10.70,-2.90,8.63,3.67,10.04,0.29,0.02,0.10,0.01,3.49,0.79,2.05,0.65,0.03,0.04,-0.05,0.11,0.51,1.09,0.04,1.20,-0.07,-0.12,-0.59,0.01,0.01,0.04,0.02,0.06,0.58,1.21,0.62,1.20,3089196,83978,1
0.24,8.83,5.37,10.34,0.57,8.90,5.67,10.56,0.01,8.74,5.22,10.20,0.05,0.00,0.01,0.00,0.56,0.16,0.46,0.36,-0.00,-0.01,0.00,0.03,0.05,0.03,0.03,0.14,-0.07,-0.13,-0.01,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.04,0.13,3089196,83998,1
0.15,8.83,5.40,10.35,0.24,8.94,5.76,10.61,0.09,8.72,5.07,10.11,0.00,0.00,0.01,0.00,0.15,0.22,0.68,0.50,-0.00,-0.00,-0.00,0.03,0.04,0.03,0.01,0.09,-0.04,-0.03,-0.01,0.01,0.00,0.00,0.00,0.00,0.08,0.06,0.02,0.08,3089196,84018,1
-0.32,8.88,5.32,10.36,-0.20,8.98,5.60,10.55,-0.42,8.82,5.06,10.20,0.00,0.00,0.01,0.00,0.21,0.16,0.54,0.35,-0.00,-0.00,-0.00,0.03,0.02,0.08,0.01,0.10,-0.05,-0.05,-0.02,0.01,0.00,0.00,0.00,0.00,0.07,0.14,0.03,0.09,3089196,84038,1
-0.24,8.70,5.57,10.35,0.61,9.15,6.20,10.79,-1.26,8.33,4.34,9.87,0.17,0.03,0.16,0.02,1.87,0.82,1.86,0.92,-0.00,0.00,0.00,0.21,0.27,0.63,0.27,0.77,-0.41,-0.57,-0.18,0.03,0.01,0.04,0.00,0.02,0.68,1.20,0.45,0.74,3089196,84059,1
-0.13,8.68,5.65,10.36,-0.04,8.79,5.93,10.50,-0.20,8.54,5.44,10.25,0.00,0.00,0.01,0.00,0.16,0.25,0.50,0.25,-0.00,-0.00,0.00,0.03,0.02,0.09,0.01,0.14,-0.10,-0.06,-0.01,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.02,0.13,3089196,84079,1
0.99,7.26,7.16,10.25,1.26,7.38,7.45,10.36,0.83,7.03,6.97,10.02,0.01,0.01,0.01,0.00,0.43,0.35,0.48,0.34,0.00,0.01,-0.00,0.03,0.07,0.06,0.02,0.08,-0.06,-0.04,-0.04,0.01,0.00,0.00,0.00,0.00,0.13,0.10,0.06,0.07,3089196,84100,1
1.20,7.09,7.27,10.24,1.58,7.38,8.11,10.74,-0.51,6.64,6.73,9.66,0.13,0.01,0.05,0.03,2.09,0.74,1.37,1.09,0.00,-0.02,0.00,0.13,0.23,0.16,0.12,0.34,-0.24,-0.26,-0.08,0.02,0.01,0.01,0.00,0.01,0.48,0.42,0.20,0.32,3089196,84120,1
1.42,7.14,7.21,10.25,1.51,7.20,7.47,10.45,1.32,7.07,7.01,10.12,0.00,0.00,0.00,0.00,0.19,0.12,0.46,0.33,0.00,-0.00,0.00,0.02,0.02,0.01,0.02,0.03,-0.02,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.04,0.02,3089196,84141,1
