@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-1.34,4.30,8.40,9.59,-0.26,5.62,9.39,10.33,-2.34,3.14,7.15,9.01,0.41,0.56,0.20,0.06,2.08,2.48,2.25,1.32,0.03,-0.02,0.01,0.24,0.45,0.91,0.30,1.01,-0.31,-0.54,-0.31,0.03,0.02,0.05,0.01,0.05,0.76,1.45,0.61,0.98,3344016,60758,1
-0.96,5.00,8.07,9.56,-0.10,5.87,9.14,10.38,-2.21,4.44,7.34,8.93,0.10,0.05,0.10,0.05,2.11,1.43,1.80,1.45,0.02,0.01,-0.01,0.15,0.22,0.36,0.08,0.46,-0.26,-0.31,-0.12,0.02,0.01,0.01,0.00,0.01,0.47,0.66,0.21,0.44,3344016,60778,1
-1.71,4.35,8.18,9.67,2.48,6.59,12.29,12.57,-6.48,-0.77,6.00,7.61,1.94,1.81,1.03,0.41,8.96,7.36,6.29,4.95,0.06,-0.07,-0.00,0.72,1.44,1.31,1.34,2.19,-1.85,-1.45,-0.65,0.04,0.34,0.26,0.07,0.38,3.29,2.75,1.98,2.15,3344016,60799,1
-2.19,5.91,7.03,9.53,-0.32,6.55,8.23,10.28,-4.89,5.18,5.18,9.03,1.33,0.09,0.30,0.03,4.57,1.37,3.05,1.25,0.01,-0.02,0.00,0.30,0.39,0.54,0.47,0.98,-0.38,-0.80,-0.29,0.02,0.02,0.09,0.03,0.05,0.77,1.35,0.76,0.96,3344016,60819,1
-1.05,6.55,5.88,9.63,4.40,10.44,13.08,14.51,-14.35,-0.42,-3.70,5.88,7.53,3.42,4.12,1.36,18.76,10.86,16.78,8.63,-0.01,-0.02,-0.09,0.74,1.68,2.41,2.31,4.88,-2.36,-3.69,-2.98,0.04,0.28,0.73,0.50,1.29,4.04,6.10,5.28,4.84,3344016,60840,1
-0.05,6.11,7.01,9.49,3.02,7.75,9.43,10.93,-2.03,2.54,3.97,6.99,1.69,0.91,1.07,0.31,5.05,5.21,5.46,3.95,0.13,0.06,0.00,0.49,3.11,1.03,0.41,3.13,-0.87,-0.61,-0.45,0.08,0.22,0.11,0.02,0.20,3.98,1.64,0.86,3.05,3344016,60948,1
-0.95,-0.60,9.75,9.82,-0.89,-0.57,9.78,9.85,-0.99,-0.63,9.72,9.79,0.00,0.00,0.00,0.00,0.11,0.06,0.06,0.06,-0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,3344016,60968,1
-1.04,-0.68,9.74,9.82,-0.72,-0.46,9.87,9.94,-1.40,-0.88,9.62,9.67,0.02,0.01,0.00,0.00,0.69,0.41,0.25,0.27,0.00,0.00,0.00,0.04,0.04,0.03,0.03,0.08,-0.02,-0.02,-0.03,0.01,0.00,0.00,0.00,0.00,0.06,0.05,0.06,0.07,3344016,60989,1
-1.01,-0.63,9.74,9.82,-0.58,-0.19,9.89,9.99,-1.40,-0.95,9.56,9.65,0.03,0.01,0.00,0.00,0.81,0.76,0.33,0.34,-0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.10,-0.03,-0.06,-0.06,0.01,0.00,0.00,0.00,0.00,0.05,0.12,0.10,0.09,3344016,61010,1
-1.01,-0.60,9.74,9.81,-0.54,-0.43,9.82,9.89,-1.36,-0.76,9.66,9.73,0.02,0.00,0.00,0.00,0.81,0.33,0.16,0.16,-0.00,-0.00,0.00,0.04,0.01,0.04,0.03,0.07,-0.02,-0.07,-0.03,0.01,0.00,0.00,0.00,0.00,0.03,0.11,0.06,0.06,3344016,61031,1
