@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-9.71,-0.14,0.37,9.72,-9.66,-0.07,0.48,9.76,-9.76,-0.20,0.29,9.67,0.00,0.00,0.00,0.00,0.09,0.13,0.19,0.09,-0.00,0.00,0.00,0.03,0.05,0.01,0.01,0.09,-0.09,-0.01,-0.00,0.01,0.00,0.00,0.00,0.00,0.14,0.02,0.01,0.08,3645274,59465,1
-9.65,-0.88,0.69,9.73,-9.53,-0.30,1.24,9.83,-9.77,-1.64,0.05,9.62,0.00,0.11,0.07,0.00,0.24,1.34,1.18,0.20,0.05,0.01,-0.00,0.17,0.41,0.20,0.14,0.43,-0.28,-0.07,-0.25,0.02,0.02,0.00,0.01,0.01,0.69,0.27,0.40,0.40,3645274,59487,1
-9.70,0.18,0.31,9.71,-9.61,0.36,0.61,9.80,-9.78,-0.08,0.11,9.62,0.00,0.01,0.01,0.00,0.18,0.44,0.50,0.18,-0.01,-0.00,-0.00,0.05,0.11,0.03,0.10,0.18,-0.16,-0.05,-0.09,0.01,0.00,0.00,0.00,0.00,0.27,0.08,0.19,0.17,3645274,59508,1
-9.68,-0.85,-0.05,9.74,-9.12,-0.59,0.41,9.93,-9.76,-1.49,-2.12,9.42,0.01,0.02,0.42,0.00,0.64,0.90,2.54,0.51,0.03,0.04,-0.00,0.11,0.37,0.40,0.13,0.63,-0.50,-0.04,-0.20,0.00,0.02,0.01,0.00,0.02,0.87,0.44,0.33,0.63,3645274,59529,1
-9.69,-0.73,0.37,9.73,-9.67,-0.61,0.55,9.77,-9.73,-0.87,0.17,9.70,0.00,0.00,0.01,0.00,0.06,0.26,0.39,0.07,0.01,-0.01,0.00,0.02,0.04,0.00,0.01,0.04,-0.04,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.07,0.02,0.01,0.03,3645274,59550,1
-9.70,-0.16,0.72,9.72,-9.67,-0.08,0.82,9.75,-9.72,-0.24,0.60,9.69,0.00,0.00,0.00,0.00,0.05,0.16,0.23,0.05,0.00,-0.00,0.00,0.03,0.04,0.01,0.02,0.19,-0.19,-0.01,-0.00,0.01,0.00,0.00,0.00,0.00,0.23,0.02,0.02,0.18,3645274,59572,1
-9.67,0.14,0.86,9.71,-9.62,0.24,1.02,9.75,-9.70,0.03,0.74,9.65,0.00,0.00,0.01,0.00,0.09,0.21,0.28,0.10,0.00,-0.00,-0.00,0.03,0.18,0.01,0.01,0.18,-0.04,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.23,0.02,0.02,0.17,3645274,59593,1
-9.65,0.57,1.01,9.72,-9.61,0.72,1.07,9.75,-9.68,0.45,0.93,9.69,0.00,0.00,0.00,0.00,0.07,0.27,0.14,0.06,0.01,-0.00,0.00,0.02,0.06,0.01,0.01,0.06,-0.05,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.10,0.01,0.02,0.05,3645274,59614,1
-9.59,-0.64,1.30,9.72,-9.19,-0.14,1.75,9.85,-9.74,-1.24,0.31,9.27,0.01,0.12,0.12,0.01,0.55,1.10,1.44,0.58,-0.02,-0.03,0.02,0.11,0.31,0.03,0.11,0.38,-0.36,-0.18,-0.05,0.01,0.01,0.00,0.00,0.01,0.66,0.21,0.16,0.36,3645274,59636,1
-9.21,-2.41,-1.23,9.67,-7.23,-0.20,-0.51,10.27,-9.63,-3.94,-2.81,7.80,0.25,0.48,0.29,0.15,2.41,3.73,2.30,2.46,0.06,-0.03,0.05,0.19,0.57,0.12,0.17,0.60,-0.40,-0.24,-0.06,0.02,0.03,0.00,0.00,0.02,0.98,0.36,0.22,0.59,3645274,59657,1
-7.90,4.31,1.18,9.74,-1.49,9.54,4.38,11.41,-9.53,2.55,-0.01,8.60,5.91,5.62,0.47,0.15,8.04,6.98,4.39,2.81,-0.02,0.01,0.22,0.40,0.81,1.05,2.39,2.74,-0.91,-0.45,-0.25,0.01,0.08,0.05,0.27,0.34,1.72,1.50,2.64,2.72,3645274,59678,1
-1.58,9.58,-0.28,9.73,-0.54,10.67,0.31,10.85,-2.63,8.72,-1.25,8.92,0.07,0.07,0.08,0.06,2.10,1.95,1.56,1.93,0.02,-0.03,0.00,0.18,0.23,0.29,0.08,0.89,-0.12,-0.86,-0.14,0.03,0.01,0.03,0.00,0.02,0.34,1.15,0.22,0.86,3645274,59699,1
-1.60,9.50,-0.59,9.68,-0.53,10.36,0.91,10.48,-2.41,8.14,-1.36,8.48,0.05,0.09,0.21,0.07,1.88,2.23,2.26,1.99,-0.02,0.00,-0.02,0.26,0.29,0.49,0.10,1.17,-0.73,-1.00,-0.35,0.02,0.03,0.06,0.01,0.04,1.02,1.49,0.45,1.15,3645274,59720,1
-1.43,9.57,-0.21,9.70,-0.68,10.42,0.21,10.58,-2.49,8.51,-0.98,8.73,0.08,0.06,0.04,0.06,1.82,1.90,1.18,1.85,0.02,-0.08,-0.02,0.14,0.18,0.14,0.08,0.73,-0.09,-0.59,-0.45,0.02,0.00,0.03,0.00,0.03,0.27,0.73,0.53,0.71,3645274,59741,1
-2.54,9.44,-0.32,9.85,-1.64,11.98,1.77,12.29,-3.97,8.36,-2.25,9.05,0.15,0.25,0.23,0.23,2.33,3.62,4.02,3.23,0.05,-0.18,0.02,0.37,0.77,0.52,0.33,1.93,-0.36,-1.77,-0.30,0.01,0.04,0.22,0.01,0.20,1.14,2.29,0.63,1.92,3645274,59762,1
-7.51,3.94,3.75,9.59,-6.42,6.07,6.95,10.63,-8.90,0.53,2.04,8.59,0.33,3.50,1.40,0.15,2.48,5.54,4.91,2.04,-0.04,-0.00,0.01,0.36,0.56,0.65,0.71,1.00,-0.89,-0.52,-0.54,0.02,0.10,0.04,0.06,0.09,1.45,1.17,1.26,0.98,3645274,59783,1
-7.05,5.22,4.09,9.69,-6.00,5.63,4.61,10.51,-7.80,4.69,3.17,9.04,0.06,0.04,0.05,0.04,1.79,0.94,1.44,1.47,-0.01,0.03,0.02,0.14,0.15,1.14,0.40,1.29,-0.45,-0.18,-0.24,0.01,0.01,0.03,0.01,0.03,0.60,1.32,0.63,1.28,3645274,59807,1
-7.11,4.39,3.79,9.52,-4.74,6.44,8.33,10.57,-8.92,0.94,1.16,7.27,0.71,2.61,2.29,0.29,4.18,5.50,7.17,3.29,-0.01,0.04,0.00,0.55,0.86,1.13,0.44,1.48,-0.98,-1.11,-0.72,0.11,0.13,0.19,0.08,0.14,1.84,2.25,1.17,1.37,3645274,59828,1
-6.11,5.69,4.30,9.70,-2.12,8.15,5.09,10.43,-8.37,4.21,3.23,9.19,2.83,2.62,0.22,0.03,6.25,3.94,1.86,1.25,0.01,0.03,0.12,0.25,0.35,0.41,1.90,1.96,-0.19,-0.39,-0.25,0.01,0.01,0.02,0.16,0.16,0.55,0.80,2.14,1.95,3645274,59850,1
-7.11,4.49,4.66,9.65,-6.12,4.99,4.80,10.63,-9.15,2.01,4.30,7.92,0.13,0.37,0.01,0.11,3.02,2.98,0.50,2.71,-0.01,0.01,-0.01,0.05,0.02,0.06,0.17,0.24,-0.04,-0.07,-0.21,0.01,0.00,0.00,0.00,0.00,0.06,0.13,0.37,0.23,3645274,59874,1
-7.17,4.55,4.70,9.71,-7.04,4.70,4.99,9.91,-7.39,4.39,4.54,9.61,0.00,0.01,0.01,0.00,0.35,0.31,0.45,0.30,-0.01,0.01,0.01,0.04,0.03,0.07,0.09,0.14,-0.09,-0.04,-0.03,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.12,0.14,3645274,59895,1
