@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA
0.12,9.37,3.20,9.91,0.18,9.42,3.36,9.99,0.07,9.33,3.07,9.85,0.00,0.00,0.00,0.00,0.11,0.09,0.29,0.14,0.00,0.00,0.00,0.03,0.05,0.04,0.02,0.08,-0.05,-0.04,-0.01,0.01,0.00,0.00,0.00,0.00,0.10,0.08,0.03,0.07,3344016,69384,1
1.01,7.20,6.80,9.96,1.51,7.39,7.13,10.24,0.26,7.09,6.45,9.77,0.02,0.00,0.01,0.00,1.24,0.30,0.67,0.48,0.00,0.00,0.00,0.07,0.15,0.38,0.08,0.41,-0.22,-0.20,-0.10,0.01,0.00,0.00,0.00,0.00,0.37,0.58,0.18,0.40,3344016,70412,1
0.87,7.34,6.66,9.95,0.97,7.44,6.75,10.00,0.78,7.29,6.52,9.88,0.00,0.00,0.00,0.00,0.20,0.15,0.23,0.12,-0.00,-0.00,0.00,0.03,0.11,0.05,0.03,0.22,-0.20,-0.09,-0.02,0.00,0.00,0.00,0.00,0.00,0.32,0.14,0.06,0.22,3344016,70433,1
2.73,3.11,8.24,10.01,8.73,7.46,9.69,12.33,-0.09,-0.84,6.09,8.83,2.81,10.60,1.38,0.22,8.82,8.30,3.59,3.50,0.05,0.07,0.41,0.69,2.63,1.79,5.68,6.05,-1.30,-0.96,-0.66,0.00,0.21,0.18,1.27,1.74,3.93,2.75,6.34,6.04,3344016,70453,1
0.21,6.38,7.47,10.00,3.19,8.20,9.11,11.80,-2.28,4.26,4.89,8.76,1.67,0.64,0.79,0.32,5.47,3.94,4.23,3.04,0.05,-0.10,0.06,0.94,1.00,1.64,1.53,2.13,-1.53,-1.74,-1.55,0.18,0.22,0.39,0.39,0.30,2.54,3.38,3.08,1.95,3344016,73799,1
0.20,5.38,8.35,9.94,0.59,5.58,8.74,10.23,-0.19,5.04,8.09,9.69,0.02,0.01,0.01,0.01,0.78,0.54,0.65,0.55,0.01,0.01,0.01,0.05,0.06,0.08,0.08,0.13,-0.12,-0.06,-0.11,0.01,0.00,0.00,0.00,0.00,0.19,0.13,0.19,0.12,3344016,74138,1
0.88,5.71,8.03,9.97,3.00,7.04,12.07,13.16,-1.12,4.43,3.13,7.35,0.56,0.32,0.60,0.23,4.11,2.61,8.93,5.80,-0.03,-0.02,0.02,0.36,1.02,0.99,0.74,3.88,-3.50,-1.41,-0.38,0.01,0.32,0.11,0.03,0.44,4.52,2.39,1.13,3.87,3344016,74159,1
-0.35,6.91,6.87,9.96,2.22,9.76,10.26,12.45,-3.22,4.40,3.21,8.16,0.92,1.11,1.98,0.21,5.44,5.36,7.05,4.30,0.07,0.05,-0.01,0.55,1.15,1.39,0.99,3.21,-1.94,-2.51,-0.70,0.06,0.22,0.28,0.04,0.38,3.09,3.90,1.69,3.15,3344016,74225,1
-0.38,6.33,7.64,9.93,-0.08,6.73,7.93,10.19,-0.61,6.17,7.11,9.72,0.02,0.01,0.02,0.01,0.53,0.56,0.82,0.47,0.01,0.01,-0.00,0.07,0.16,0.23,0.03,0.24,-0.15,-0.15,-0.08,0.02,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.22,3344016,74245,1
0.17,1.18,9.22,9.99,7.32,8.90,14.99,16.54,-7.98,-1.28,3.73,5.07,3.60,7.01,3.66,1.08,15.30,10.18,11.26,11.46,-0.21,0.15,0.07,0.50,0.93,2.28,2.29,4.48,-3.78,-1.09,-1.34,0.00,0.50,0.27,0.28,1.04,4.71,3.37,3.63,4.48,3344016,74265,1
