@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.60,6.08,7.61,9.76,-0.48,6.16,7.70,9.85,-0.74,5.99,7.52,9.66,0.00,0.00,0.00,0.00,0.26,0.17,0.19,0.20,0.00,-0.00,-0.00,0.02,0.02,0.02,0.02,0.04,-0.02,-0.02,-0.03,0.01,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0.03,3619420,43154,1
-0.16,5.91,7.76,9.76,0.50,6.31,8.48,10.22,-0.63,5.52,7.28,9.44,0.08,0.05,0.05,0.01,1.13,0.79,1.19,0.78,0.01,0.00,-0.01,0.11,0.24,0.24,0.07,0.43,-0.27,-0.39,-0.08,0.01,0.01,0.01,0.00,0.01,0.50,0.63,0.14,0.42,3619420,43174,1
-0.77,5.94,7.70,9.76,-0.52,6.33,8.01,10.07,-1.03,5.67,7.14,9.46,0.01,0.01,0.02,0.01,0.51,0.66,0.87,0.61,0.00,-0.00,-0.00,0.07,0.28,0.10,0.07,0.39,-0.35,-0.27,-0.08,0.02,0.01,0.00,0.00,0.01,0.63,0.37,0.15,0.37,3619420,43194,1
-0.43,6.23,7.49,9.75,-0.23,6.38,7.81,9.91,-0.75,5.89,7.32,9.59,0.01,0.01,0.01,0.00,0.52,0.48,0.49,0.32,-0.01,0.00,0.00,0.07,0.23,0.15,0.05,0.35,-0.19,-0.25,-0.08,0.02,0.00,0.00,0.00,0.00,0.42,0.40,0.13,0.33,3619420,43214,1
-0.43,6.34,7.40,9.76,-0.30,6.56,7.52,9.87,-0.63,6.24,7.10,9.61,0.00,0.00,0.00,0.00,0.33,0.32,0.42,0.26,-0.00,-0.01,0.00,0.03,0.02,0.01,0.04,0.11,-0.09,-0.06,-0.05,0.01,0.00,0.00,0.00,0.00,0.11,0.07,0.09,0.10,3619420,43235,1
-0.55,6.44,7.31,9.76,-0.36,6.77,7.61,9.92,-1.01,6.19,6.83,9.62,0.01,0.01,0.02,0.00,0.64,0.58,0.79,0.30,0.00,-0.00,0.00,0.07,0.19,0.22,0.12,0.27,-0.15,-0.14,-0.04,0.01,0.00,0.00,0.00,0.00,0.34,0.36,0.16,0.25,3619420,43255,1
-0.45,6.26,7.48,9.77,0.02,6.54,8.48,10.33,-1.22,5.67,6.85,9.42,0.06,0.04,0.07,0.02,1.24,0.87,1.63,0.91,-0.00,-0.01,0.01,0.11,0.18,0.23,0.15,0.31,-0.25,-0.24,-0.10,0.02,0.00,0.00,0.00,0.00,0.43,0.47,0.25,0.29,3619420,43277,1
-0.95,6.35,7.33,9.77,-0.04,6.97,8.01,10.20,-1.74,5.78,6.43,9.47,0.17,0.09,0.11,0.01,1.71,1.19,1.58,0.74,-0.01,-0.01,0.01,0.14,0.19,0.29,0.16,0.45,-0.26,-0.23,-0.18,0.03,0.01,0.01,0.00,0.01,0.45,0.52,0.34,0.43,3619420,43297,1
-0.63,6.01,7.67,9.77,-0.45,6.16,8.08,10.02,-0.83,5.89,7.21,9.39,0.01,0.00,0.02,0.01,0.38,0.27,0.87,0.62,-0.00,-0.00,0.00,0.05,0.07,0.11,0.09,0.15,-0.07,-0.07,-0.09,0.01,0.00,0.00,0.00,0.00,0.14,0.19,0.18,0.14,3619420,43317,1
-0.47,6.17,7.54,9.77,0.34,6.70,8.10,9.99,-1.33,5.56,6.97,9.52,0.14,0.05,0.05,0.01,1.66,1.14,1.12,0.47,-0.01,-0.00,0.03,0.12,0.20,0.21,0.27,0.34,-0.21,-0.11,-0.11,0.03,0.01,0.00,0.01,0.01,0.41,0.32,0.38,0.31,3619420,43337,1
-0.56,6.05,7.64,9.77,-0.02,6.36,8.11,10.23,-1.11,5.66,7.06,9.46,0.08,0.04,0.05,0.01,1.09,0.70,1.05,0.77,0.00,-0.01,-0.01,0.08,0.12,0.09,0.06,0.21,-0.15,-0.11,-0.16,0.02,0.00,0.00,0.00,0.00,0.28,0.20,0.23,0.19,3619420,43357,1
-0.49,6.06,7.65,9.77,-0.18,6.34,7.89,10.13,-1.05,5.90,7.21,9.42,0.04,0.01,0.01,0.01,0.88,0.44,0.68,0.70,-0.00,-0.00,-0.01,0.08,0.11,0.10,0.17,0.21,-0.07,-0.06,-0.17,0.02,0.00,0.00,0.00,0.00,0.18,0.16,0.34,0.20,3619420,43378,1
-0.70,5.93,7.73,9.77,-0.57,6.06,8.27,10.17,-0.91,5.80,7.26,9.47,0.00,0.00,0.02,0.01,0.35,0.26,1.01,0.70,0.00,-0.00,-0.00,0.05,0.12,0.06,0.05,0.22,-0.11,-0.10,-0.06,0.01,0.00,0.00,0.00,0.00,0.23,0.16,0.11,0.21,3619420,43398,1
-0.59,5.97,7.71,9.77,-0.30,6.24,8.04,10.01,-1.05,5.77,7.28,9.46,0.02,0.01,0.02,0.01,0.75,0.47,0.76,0.55,0.01,0.00,-0.00,0.08,0.09,0.10,0.14,0.23,-0.10,-0.06,-0.08,0.02,0.00,0.00,0.00,0.00,0.19,0.16,0.22,0.21,3619420,43418,1
-0.60,6.17,7.55,9.77,-0.32,6.37,8.04,10.20,-1.05,6.01,7.26,9.50,0.01,0.00,0.02,0.01,0.74,0.36,0.77,0.71,-0.00,-0.00,0.00,0.08,0.08,0.08,0.06,0.28,-0.26,-0.08,-0.06,0.01,0.00,0.00,0.00,0.00,0.34,0.16,0.12,0.27,3619420,43438,1
-0.83,6.04,7.62,9.77,-0.46,6.31,8.08,10.07,-1.27,5.73,7.32,9.51,0.05,0.01,0.02,0.01,0.81,0.59,0.75,0.57,-0.00,-0.00,0.00,0.08,0.10,0.08,0.22,0.24,-0.08,-0.05,-0.23,0.02,0.00,0.00,0.01,0.00,0.18,0.13,0.44,0.22,3619420,43458,1
-1.75,5.94,7.57,9.78,-1.39,6.19,8.14,10.23,-1.98,5.65,7.25,9.61,0.01,0.01,0.01,0.01,0.59,0.54,0.89,0.62,0.01,-0.00,-0.00,0.04,0.09,0.08,0.07,0.14,-0.05,-0.05,-0.11,0.01,0.00,0.00,0.00,0.00,0.13,0.12,0.18,0.13,3619420,43479,1
-0.78,6.13,7.54,9.76,-0.03,6.42,7.87,10.04,-1.86,5.85,7.27,9.42,0.14,0.01,0.01,0.01,1.82,0.57,0.60,0.62,0.00,-0.01,0.02,0.08,0.11,0.07,0.25,0.26,-0.07,-0.16,-0.11,0.02,0.00,0.00,0.01,0.00,0.18,0.23,0.36,0.25,3619420,43499,1
-0.64,6.10,7.59,9.76,-0.36,6.27,7.87,10.00,-0.96,5.94,7.26,9.53,0.01,0.00,0.01,0.01,0.60,0.34,0.61,0.46,0.00,-0.01,-0.02,0.07,0.07,0.07,0.08,0.18,-0.09,-0.06,-0.13,0.02,0.00,0.00,0.00,0.00,0.16,0.13,0.21,0.16,3619420,43519,1
-0.48,6.04,7.64,9.76,-0.26,6.25,8.12,10.09,-0.98,5.85,7.18,9.37,0.02,0.01,0.02,0.01,0.71,0.40,0.94,0.72,-0.00,0.01,-0.00,0.05,0.11,0.16,0.07,0.21,-0.14,-0.05,-0.08,0.01,0.00,0.00,0.00,0.00,0.24,0.22,0.15,0.20,3619420,43539,1
-1.49,5.66,7.81,9.77,-0.26,6.20,8.60,10.38,-2.85,5.18,7.25,9.32,0.23,0.05,0.05,0.03,2.60,1.02,1.35,1.06,-0.01,0.00,-0.02,0.15,0.35,0.26,0.15,0.41,-0.22,-0.20,-0.24,0.01,0.01,0.01,0.01,0.01,0.57,0.46,0.39,0.40,3619420,43559,1
-0.81,6.12,7.55,9.76,-0.67,6.24,7.71,9.89,-0.94,6.02,7.43,9.63,0.00,0.00,0.00,0.00,0.27,0.22,0.27,0.26,0.00,-0.00,-0.00,0.03,0.03,0.02,0.03,0.06,-0.03,-0.05,-0.04,0.01,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.06,3619420,43580,1
-0.81,5.44,7.98,9.79,4.74,6.63,9.41,10.73,-2.32,2.76,6.88,9.16,0.95,0.49,0.20,0.05,7.07,3.87,2.53,1.57,-0.05,-0.15,-0.00,0.41,0.63,0.37,0.67,4.38,-0.55,-4.30,-0.44,0.03,0.03,0.52,0.03,0.47,1.18,4.68,1.11,4.35,3619420,43600,1
1.00,5.18,7.02,9.81,9.55,7.03,8.63,10.83,-0.99,-0.06,-1.96,9.26,10.25,2.36,6.36,0.07,10.54,7.09,10.59,1.57,0.13,-0.12,0.32,0.51,0.94,0.46,2.31,2.51,-0.24,-1.22,-0.20,0.02,0.05,0.13,0.34,0.43,1.18,1.68,2.51,2.49,3619420,44610,1
-0.46,5.40,8.11,9.76,-0.03,5.68,8.43,9.96,-0.87,5.13,7.53,9.47,0.03,0.01,0.02,0.01,0.84,0.55,0.90,0.49,-0.00,0.00,-0.00,0.08,0.09,0.19,0.10,0.28,-0.17,-0.11,-0.10,0.02,0.00,0.00,0.00,0.00,0.26,0.30,0.20,0.26,3619420,44630,1
8.29,5.27,1.22,10.17,11.83,10.37,4.05,13.64,5.80,2.30,-3.19,7.57,1.54,2.74,1.71,1.51,6.03,8.07,7.24,6.07,-0.03,0.03,0.07,1.28,2.64,2.03,1.27,4.47,-3.78,-2.10,-1.36,0.18,1.72,0.90,0.20,1.21,6.42,4.13,2.63,4.29,3619420,47803,1
3.82,4.64,4.39,10.18,13.13,16.50,13.64,17.72,-5.64,-0.92,-0.92,4.05,24.95,8.98,17.34,4.49,18.77,17.42,14.57,13.66,0.07,0.04,-0.24,2.15,3.98,2.21,3.66,6.28,-2.89,-3.51,-5.62,0.66,1.73,1.06,3.12,2.08,6.86,5.72,9.28,5.62,3619420,47824,1
-1.36,4.44,8.56,9.76,-0.67,4.99,8.95,10.08,-2.20,3.91,8.15,9.56,0.24,0.08,0.04,0.01,1.53,1.08,0.80,0.52,-0.00,-0.02,-0.01,0.13,0.26,0.32,0.16,0.47,-0.22,-0.30,-0.30,0.03,0.01,0.01,0.01,0.01,0.48,0.62,0.46,0.44,3619420,56821,1
4.79,1.46,7.27,9.89,11.65,7.96,11.53,13.03,-1.40,-3.74,1.09,7.10,5.65,11.16,2.61,0.65,13.05,11.71,10.44,5.92,-0.05,-0.21,-0.44,1.43,3.01,2.23,4.81,6.16,-2.07,-2.93,-3.30,0.02,0.88,0.62,1.73,1.81,5.08,5.16,8.12,6.14,3619420,56841,1
