@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
1.77,9.67,-1.97,10.03,1.91,9.73,-1.84,10.07,1.69,9.59,-2.07,9.99,0.00,0.00,0.00,0.00,0.22,0.14,0.23,0.08,-0.00,0.01,0.00,0.02,0.02,0.03,0.04,0.05,-0.02,-0.00,-0.02,0.01,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,3344016,74611,1
1.46,9.72,-1.96,10.02,1.67,9.84,-1.70,10.12,1.19,9.61,-2.13,9.93,0.01,0.00,0.00,0.00,0.48,0.23,0.43,0.19,0.00,0.01,0.00,0.04,0.06,0.04,0.16,0.18,-0.03,-0.05,-0.05,0.02,0.00,0.00,0.00,0.00,0.09,0.09,0.21,0.16,3344016,74632,1
2.08,9.65,-1.88,10.05,2.36,9.97,-1.62,10.33,1.46,9.48,-2.22,9.86,0.09,0.01,0.01,0.00,0.89,0.49,0.60,0.47,-0.00,-0.00,-0.01,0.05,0.06,0.08,0.12,0.20,-0.08,-0.13,-0.15,0.01,0.00,0.00,0.00,0.00,0.13,0.21,0.27,0.19,3344016,74653,1
-0.49,9.82,-0.81,10.03,3.74,10.67,0.06,10.94,-2.21,8.66,-2.66,9.20,2.31,0.15,0.24,0.07,5.95,2.01,2.72,1.74,-0.01,0.04,0.03,0.39,0.70,2.68,1.16,3.04,-0.51,-0.97,-0.70,0.02,0.04,0.28,0.09,0.33,1.21,3.65,1.86,3.02,3344016,74675,1
0.24,2.13,9.19,10.42,8.45,9.94,13.80,15.52,-7.48,-2.42,2.68,7.67,7.34,8.68,3.15,1.80,15.93,12.36,11.12,7.85,-0.02,-0.19,-0.51,0.88,1.52,1.28,0.07,4.53,-1.09,-2.25,-4.33,0.01,0.14,0.34,1.07,1.46,2.61,3.53,4.40,4.52,3344016,82062,1
-0.22,6.92,7.34,10.16,0.20,8.44,8.01,10.62,-2.69,6.49,4.95,9.88,0.50,0.25,0.48,0.01,2.90,1.94,3.06,0.74,0.03,0.03,-0.01,0.24,1.15,0.91,0.44,1.66,-0.82,-1.00,-0.74,0.01,0.07,0.07,0.02,0.18,1.97,1.91,1.19,1.65,3344016,84035,1
0.06,0.16,9.87,9.87,0.09,0.19,9.89,9.89,0.00,0.11,9.84,9.85,0.00,0.00,0.00,0.00,0.09,0.08,0.04,0.04,-0.00,0.01,-0.00,0.01,0.00,0.02,0.00,0.02,-0.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,3344016,84056,1
0.05,0.15,9.87,9.88,0.07,0.19,9.90,9.90,0.03,0.12,9.83,9.83,0.00,0.00,0.00,0.00,0.04,0.06,0.08,0.08,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84081,1
0.05,0.15,9.87,9.87,0.10,0.18,9.91,9.91,0.04,0.13,9.85,9.85,0.00,0.00,0.00,0.00,0.06,0.05,0.06,0.06,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,3344016,84102,1
0.06,0.15,9.88,9.88,0.09,0.19,9.90,9.90,0.04,0.13,9.85,9.86,0.00,0.00,0.00,0.00,0.05,0.06,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84123,1
0.06,0.15,9.87,9.87,0.08,0.19,9.89,9.89,0.04,0.10,9.84,9.84,0.00,0.00,0.00,0.00,0.05,0.09,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,3344016,84147,1
0.05,0.15,9.88,9.88,0.11,0.37,9.91,9.91,0.01,0.11,9.86,9.86,0.00,0.00,0.00,0.00,0.10,0.26,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84169,1
0.06,0.15,9.87,9.87,0.10,0.23,9.89,9.89,0.03,0.11,9.84,9.84,0.00,0.00,0.00,0.00,0.07,0.12,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84190,1
0.04,0.15,9.87,9.88,0.07,0.18,9.91,9.91,0.02,0.14,9.85,9.85,0.00,0.00,0.00,0.00,0.05,0.04,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84214,1
0.06,0.17,9.87,9.88,0.14,0.51,9.96,9.97,0.00,0.10,9.84,9.85,0.00,0.00,0.00,0.00,0.14,0.41,0.12,0.12,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,3344016,84235,1
0.02,0.18,9.87,9.87,0.08,0.22,9.90,9.90,0.00,0.14,9.84,9.84,0.00,0.00,0.00,0.00,0.08,0.08,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84256,1
0.04,0.17,9.87,9.87,0.07,0.18,9.89,9.89,0.01,0.14,9.83,9.83,0.00,0.00,0.00,0.00,0.06,0.04,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,3344016,84281,1
0.03,0.24,9.87,9.88,0.11,0.40,9.95,9.95,-0.01,0.07,9.80,9.80,0.00,0.00,0.00,0.00,0.12,0.32,0.15,0.15,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,3344016,84302,1
0.02,0.21,9.86,9.87,0.11,0.34,9.90,9.90,-0.02,0.03,9.82,9.82,0.00,0.00,0.00,0.00,0.13,0.32,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84323,1
0.01,0.20,9.86,9.86,0.06,0.27,9.90,9.91,-0.00,0.14,9.83,9.83,0.00,0.00,0.00,0.00,0.06,0.12,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,3344016,84347,1
0.01,0.20,9.86,9.86,0.06,0.28,9.90,9.90,-0.00,0.10,9.83,9.83,0.00,0.00,0.00,0.00,0.07,0.18,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84368,1
0.01,0.20,9.86,9.87,0.09,0.28,9.91,9.92,-0.02,0.08,9.83,9.83,0.00,0.00,0.00,0.00,0.10,0.19,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,3344016,84389,1
0.01,0.20,9.86,9.86,0.09,0.25,9.90,9.90,-0.01,0.14,9.82,9.83,0.00,0.00,0.00,0.00,0.10,0.11,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84413,1
0.01,0.20,9.86,9.86,0.05,0.26,9.89,9.89,0.00,0.14,9.82,9.82,0.00,0.00,0.00,0.00,0.05,0.12,0.07,0.07,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84434,1
0.07,0.11,9.86,9.86,0.15,0.20,9.90,9.90,0.00,0.02,9.82,9.82,0.00,0.00,0.00,0.00,0.15,0.18,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84455,1
0.04,0.13,9.86,9.92,4.16,1.98,12.93,18.87,-13.10,-5.95,5.36,5.73,1.04,0.31,0.20,0.47,17.26,7.93,7.57,13.15,-0.00,-0.02,0.09,0.25,0.10,0.66,2.11,2.99,-0.13,-1.28,-1.10,0.00,0.00,0.05,0.21,0.42,0.24,1.94,3.21,2.99,3344016,84479,1
0.01,0.26,9.87,9.87,0.11,0.41,10.07,10.08,-0.05,0.11,9.68,9.68,0.00,0.00,0.00,0.00,0.16,0.31,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,3344016,84500,1
0.11,0.08,9.87,9.87,0.24,0.22,9.93,9.94,0.00,-0.00,9.80,9.80,0.00,0.00,0.00,0.00,0.24,0.22,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84522,1
0.10,0.09,9.88,9.88,0.16,0.15,9.92,9.92,0.03,0.03,9.84,9.84,0.00,0.00,0.00,0.00,0.14,0.11,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,3344016,84546,1
0.10,0.09,9.88,9.88,0.15,0.14,9.94,9.94,0.06,0.04,9.79,9.79,0.00,0.00,0.00,0.00,0.09,0.09,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84567,1
0.10,0.09,9.87,9.87,0.16,0.14,9.91,9.91,0.04,0.04,9.83,9.83,0.00,0.00,0.00,0.00,0.11,0.10,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,3344016,84588,1
0.10,0.10,9.87,9.87,0.23,0.28,10.27,10.28,-0.03,-0.04,8.93,8.94,0.00,0.00,0.00,0.00,0.26,0.32,1.34,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,3344016,84612,1
0.09,0.09,9.88,9.88,0.14,0.14,9.92,9.92,0.04,0.04,9.84,9.85,0.00,0.00,0.00,0.00,0.11,0.10,0.08,0.08,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,3344016,84633,1
0.09,0.09,9.87,9.87,0.16,0.29,9.91,9.91,0.00,-0.01,9.84,9.84,0.00,0.00,0.00,0.00,0.16,0.29,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,84654,1
0.09,0.08,9.87,9.87,0.14,0.18,9.91,9.91,0.03,0.02,9.84,9.84,0.00,0.00,0.00,0.00,0.12,0.15,0.07,0.07,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,3344016,84678,1
0.09,0.08,9.87,9.87,0.18,0.20,9.99,9.99,0.02,0.02,9.57,9.57,0.00,0.00,0.00,0.00,0.16,0.19,0.41,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,3344016,84700,1
0.09,0.09,9.87,9.87,0.29,0.26,10.10,10.10,0.00,-0.01,9.75,9.75,0.00,0.00,0.00,0.00,0.29,0.27,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,3344016,84721,1
0.09,0.08,9.87,9.87,0.25,0.33,10.23,10.23,0.00,-0.04,9.55,9.56,0.00,0.00,0.00,0.00,0.25,0.37,0.67,0.68,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,3344016,84745,1
0.09,0.08,9.87,9.87,0.24,0.19,9.92,9.92,0.00,0.00,9.83,9.83,0.00,0.00,0.00,0.00,0.24,0.19,0.09,0.09,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,3344016,84766,1
0.09,0.09,9.87,9.87,0.28,0.31,10.17,10.18,-0.09,-0.04,9.54,9.55,0.00,0.00,0.00,0.00,0.37,0.36,0.63,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,3344016,84787,1
0.10,0.08,9.87,9.87,0.16,0.19,9.91,9.91,0.01,0.00,9.83,9.83,0.00,0.00,0.00,0.00,0.16,0.19,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,3344016,84811,1
0.09,0.08,9.86,9.86,0.21,0.23,9.92,9.92,0.00,-0.02,9.82,9.82,0.00,0.00,0.00,0.00,0.21,0.25,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,3344016,84832,1
