@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.77,9.46,-2.50,9.82,-0.16,9.87,-2.04,10.37,-1.29,8.91,-2.96,9.23,0.02,0.00,0.02,0.01,1.13,0.96,0.92,1.14,-0.00,-0.00,-0.00,0.06,0.16,0.25,0.06,0.29,-0.24,-0.22,-0.16,0.01,0.00,0.00,0.00,0.00,0.40,0.48,0.21,0.28,3619420,67655,1
-1.65,9.05,-3.45,9.83,-1.35,9.21,-2.84,10.05,-2.31,8.87,-3.99,9.64,0.07,0.00,0.05,0.00,0.96,0.34,1.15,0.41,-0.00,0.01,0.02,0.10,0.17,0.29,0.06,0.34,-0.21,-0.29,-0.01,0.02,0.00,0.01,0.00,0.00,0.38,0.57,0.08,0.32,3619420,67675,1
-1.88,8.81,-3.93,9.84,-1.50,9.14,-2.97,10.23,-2.30,8.54,-4.88,9.68,0.03,0.01,0.07,0.01,0.80,0.60,1.91,0.55,0.01,-0.03,0.01,0.17,0.58,0.35,0.37,0.98,-0.60,-0.74,-0.21,0.01,0.02,0.03,0.00,0.03,1.18,1.09,0.58,0.96,3619420,67696,1
-1.30,9.21,-3.13,9.81,-1.06,9.37,-2.75,10.03,-1.57,8.78,-3.77,9.62,0.01,0.01,0.04,0.00,0.51,0.59,1.02,0.41,-0.01,-0.00,0.00,0.11,0.11,0.21,0.18,0.37,-0.16,-0.37,-0.06,0.02,0.00,0.01,0.00,0.00,0.27,0.58,0.24,0.35,3619420,67716,1
-0.87,9.42,-2.55,9.82,-0.34,9.98,-0.68,10.26,-1.47,9.03,-3.48,9.46,0.05,0.03,0.32,0.02,1.13,0.95,2.80,0.79,0.02,-0.01,0.00,0.16,0.43,0.29,0.14,0.45,-0.21,-0.30,-0.21,0.02,0.01,0.01,0.00,0.01,0.64,0.59,0.35,0.43,3619420,67737,1
-0.77,9.30,-2.93,9.83,0.75,9.80,-1.43,10.85,-2.08,7.75,-5.88,9.00,0.12,0.11,0.72,0.04,2.83,2.06,4.44,1.85,-0.01,-0.00,-0.01,0.43,1.43,2.78,0.69,3.54,-1.88,-2.99,-1.17,0.03,0.16,0.50,0.06,0.56,3.31,5.77,1.86,3.50,3619420,67757,1
-0.59,9.16,-3.49,9.82,-0.31,9.45,-2.49,10.04,-0.91,8.95,-4.36,9.66,0.01,0.01,0.05,0.00,0.60,0.50,1.88,0.38,0.00,0.00,-0.00,0.11,0.17,0.28,0.04,0.41,-0.22,-0.39,-0.08,0.01,0.00,0.01,0.00,0.00,0.39,0.67,0.12,0.40,3619420,67777,1
-0.65,9.05,-3.73,9.82,-0.13,9.50,-3.02,10.25,-1.51,8.68,-4.71,9.65,0.02,0.01,0.08,0.00,1.38,0.82,1.69,0.59,0.01,-0.02,0.01,0.08,0.58,0.26,0.15,0.73,-0.14,-0.61,-0.10,0.01,0.01,0.01,0.00,0.01,0.72,0.87,0.25,0.72,3619420,67798,1
-0.76,9.20,-3.31,9.82,-0.09,9.85,-2.82,10.95,-2.70,8.38,-3.94,9.15,0.10,0.03,0.09,0.03,2.61,1.47,1.13,1.80,-0.01,0.00,0.00,0.09,0.14,0.44,0.19,0.81,-0.20,-0.42,-0.70,0.02,0.00,0.01,0.01,0.01,0.34,0.85,0.89,0.80,3619420,67818,1
-0.84,9.37,-2.80,9.82,-0.73,9.57,-2.42,9.91,-1.10,9.25,-3.23,9.73,0.00,0.00,0.04,0.00,0.38,0.33,0.81,0.18,0.02,0.00,0.00,0.04,0.31,0.08,0.06,0.31,-0.05,-0.13,-0.05,0.01,0.00,0.00,0.00,0.00,0.36,0.20,0.11,0.30,3619420,67839,1
