@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA
-3.44,1.92,4.24,9.92,11.63,8.09,10.00,13.44,-9.50,-2.82,1.67,6.82,51.40,4.65,7.12,1.08,21.13,10.91,8.33,6.62,0.32,-0.09,0.72,1.35,3.10,1.04,5.23,6.07,-1.83,-2.34,-1.24,0.04,0.74,0.44,1.94,2.15,4.93,3.38,6.47,6.02,3355393,7914,1
9.87,-1.24,1.47,10.09,10.22,1.02,2.69,10.30,9.32,-1.85,-0.38,9.59,0.02,0.24,0.23,0.01,0.90,2.87,3.07,0.70,-0.00,0.02,-0.07,0.26,0.46,0.67,0.08,2.76,-0.55,-1.15,-2.71,0.01,0.02,0.08,0.10,0.16,1.01,1.82,2.79,2.75,3355393,7934,1
0.88,9.68,2.04,9.93,0.97,9.71,2.25,9.96,0.74,9.63,1.90,9.90,0.00,0.00,0.01,0.00,0.23,0.08,0.35,0.05,-0.02,-0.00,0.00,0.04,0.06,0.04,0.08,0.46,-0.44,-0.09,-0.03,0.01,0.00,0.00,0.00,0.00,0.51,0.12,0.11,0.45,3355393,7955,1
9.84,-0.77,2.04,10.08,9.92,-0.72,2.29,10.12,9.77,-0.94,1.51,10.04,0.00,0.00,0.02,0.00,0.16,0.23,0.78,0.08,0.00,0.01,-0.00,0.04,0.06,0.11,0.02,0.22,-0.07,-0.19,-0.10,0.00,0.00,0.00,0.00,0.00,0.12,0.30,0.12,0.21,3355393,7975,1
9.81,-0.71,2.21,10.08,9.82,-0.68,2.29,10.11,9.76,-0.75,2.13,10.04,0.00,0.00,0.00,0.00,0.06,0.07,0.16,0.07,0.00,-0.00,-0.00,0.01,0.01,0.02,0.01,0.02,-0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.02,3355393,7995,1
9.88,-0.74,1.80,10.08,9.93,-0.64,2.15,10.16,9.80,-0.84,1.63,10.01,0.00,0.00,0.02,0.00,0.13,0.20,0.52,0.15,0.00,-0.00,-0.00,0.04,0.06,0.25,0.03,0.25,-0.05,-0.10,-0.05,0.01,0.00,0.00,0.00,0.00,0.11,0.35,0.08,0.25,3355393,8016,1
9.90,-0.57,1.83,10.08,9.96,-0.43,1.98,10.14,9.87,-0.60,1.40,10.03,0.00,0.00,0.01,0.00,0.09,0.17,0.58,0.10,0.00,-0.01,-0.00,0.02,0.07,0.02,0.02,0.19,-0.01,-0.18,-0.01,0.00,0.00,0.00,0.00,0.00,0.08,0.19,0.03,0.18,3355393,8036,1
9.86,-0.56,2.05,10.08,9.88,-0.53,2.13,10.11,9.83,-0.59,1.96,10.05,0.00,0.00,0.00,0.00,0.04,0.06,0.17,0.06,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,-0.00,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.02,3355393,8056,1
9.84,-0.56,2.09,10.07,9.87,-0.53,2.19,10.11,9.81,-0.60,1.83,10.04,0.00,0.00,0.00,0.00,0.06,0.06,0.36,0.07,0.00,-0.00,-0.00,0.01,0.08,0.04,0.02,0.15,-0.02,-0.12,-0.01,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.03,0.15,3355393,8077,1
9.72,0.18,2.57,10.07,10.26,0.64,3.06,10.70,9.31,-0.29,0.68,9.37,0.01,0.02,0.13,0.02,0.95,0.94,2.38,1.33,0.01,0.01,0.01,0.05,0.12,0.63,0.12,0.64,-0.05,-0.18,-0.05,0.01,0.00,0.01,0.00,0.01,0.17,0.81,0.18,0.63,3355393,8097,1
