@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.41,4.39,8.70,9.85,0.57,5.83,11.57,11.76,-1.34,0.96,6.66,8.47,0.19,0.95,0.57,0.26,1.90,4.87,4.91,3.29,-0.00,-0.00,0.03,0.38,0.93,0.36,1.73,2.06,-1.29,-0.56,-0.61,0.05,0.12,0.03,0.11,0.20,2.22,0.91,2.33,2.01,3344016,68222,1
-0.33,3.64,9.13,9.86,0.04,4.79,9.50,10.15,-2.24,3.22,7.69,9.34,0.22,0.12,0.09,0.02,2.28,1.57,1.81,0.81,-0.00,0.03,0.01,0.20,0.47,1.43,0.38,1.57,-0.40,-0.87,-0.17,0.02,0.01,0.09,0.01,0.10,0.86,2.30,0.55,1.55,3344016,68302,1
-1.25,-0.09,9.62,10.10,2.32,3.91,12.78,14.25,-4.29,-2.55,7.48,8.45,3.15,2.65,0.72,0.83,6.61,6.46,5.30,5.81,-0.03,-0.04,0.17,0.76,0.95,0.93,1.67,2.25,-1.39,-1.26,-1.28,0.04,0.18,0.14,0.37,0.40,2.34,2.19,2.95,2.21,3344016,68330,1
-0.17,5.85,7.87,9.84,0.57,6.15,9.46,11.08,-2.19,5.38,6.81,9.17,0.19,0.03,0.13,0.07,2.76,0.78,2.65,1.92,0.02,-0.01,0.02,0.09,0.14,0.16,0.20,0.35,-0.11,-0.20,-0.07,0.01,0.00,0.00,0.00,0.00,0.25,0.37,0.27,0.33,3344016,68352,1
0.09,5.76,7.97,9.84,0.65,5.96,8.74,10.53,-0.28,5.49,7.34,9.43,0.04,0.01,0.06,0.03,0.93,0.47,1.40,1.10,-0.01,0.02,0.01,0.17,0.22,0.38,0.15,0.51,-0.33,-0.35,-0.11,0.03,0.01,0.02,0.00,0.02,0.55,0.73,0.26,0.48,3344016,68374,1
-0.15,4.91,8.50,9.83,0.31,5.28,9.30,10.40,-0.98,4.56,8.19,9.62,0.08,0.03,0.03,0.01,1.28,0.71,1.11,0.78,0.01,-0.01,-0.00,0.06,0.07,0.05,0.05,0.17,-0.15,-0.13,-0.04,0.02,0.00,0.00,0.00,0.00,0.22,0.18,0.09,0.15,3344016,68613,1
0.17,-0.06,9.89,9.89,0.19,-0.05,9.92,9.92,0.15,-0.08,9.87,9.87,0.00,0.00,0.00,0.00,0.04,0.03,0.05,0.05,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3344016,68846,1
-0.91,1.56,8.95,9.74,5.22,5.65,13.36,13.99,-5.84,-1.04,3.73,5.12,4.82,3.33,2.75,1.38,11.06,6.69,9.63,8.87,-0.05,0.11,0.24,0.81,2.91,3.02,3.11,5.69,-2.86,-1.40,-0.44,0.00,0.66,0.65,0.36,2.13,5.77,4.42,3.56,5.69,3344016,69794,1
2.18,-2.89,3.69,10.80,21.24,5.53,10.87,23.91,-4.65,-11.38,-3.96,4.48,28.95,41.36,18.95,10.63,25.90,16.91,14.83,19.43,-0.08,-0.49,0.55,1.78,1.34,1.58,6.00,7.20,-2.68,-4.12,-1.62,0.26,0.45,0.89,2.69,3.59,4.02,5.70,7.62,6.94,3344016,76645,1
-0.95,2.64,9.29,9.97,4.33,5.81,11.54,13.87,-2.28,0.76,6.52,7.22,1.70,1.54,0.69,0.79,6.61,5.05,5.02,6.66,0.13,-0.09,-0.04,0.84,1.42,1.72,1.05,3.42,-0.64,-1.90,-1.35,0.08,0.14,0.41,0.20,0.54,2.06,3.62,2.41,3.34,3344016,76663,1
