@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.25,7.52,5.89,9.57,1.53,8.19,6.51,9.87,-0.20,7.16,4.98,9.42,0.12,0.04,0.09,0.01,1.72,1.03,1.53,0.45,0.02,0.04,0.04,0.06,0.06,0.11,0.11,0.15,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.11,0.15,3344016,56176,1
0.30,7.73,5.58,9.57,1.63,8.34,6.40,9.98,-0.10,6.88,3.75,8.83,0.12,0.06,0.14,0.02,1.72,1.47,2.64,1.15,-0.05,-0.20,-0.11,0.24,0.00,0.00,0.00,1.39,-0.20,-1.25,-0.59,0.00,0.00,0.10,0.02,0.12,0.20,1.25,0.59,1.39,3344016,56198,1
0.56,0.15,9.36,9.39,1.00,0.85,9.46,9.55,0.07,0.01,9.27,9.27,0.01,0.02,0.00,0.00,0.93,0.84,0.19,0.27,-0.00,-0.01,-0.01,0.01,0.02,0.00,0.00,0.05,-0.01,-0.03,-0.04,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.05,3344016,58207,1
0.28,7.81,5.53,9.60,0.87,8.79,6.19,10.32,-0.21,7.35,3.88,9.31,0.03,0.09,0.19,0.02,1.09,1.44,2.31,1.01,0.02,-0.00,0.00,0.02,0.04,0.01,0.02,0.05,-0.00,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.03,0.04,3344016,58281,1
0.32,8.24,4.83,9.59,1.05,9.14,5.54,9.78,-0.29,7.88,2.30,9.34,0.05,0.08,0.49,0.01,1.34,1.25,3.24,0.45,-0.01,-0.00,0.01,0.05,0.13,0.04,0.02,0.13,-0.05,-0.05,-0.01,0.01,0.00,0.00,0.00,0.00,0.18,0.09,0.03,0.12,3344016,58302,1
0.62,8.45,4.38,9.61,4.39,9.19,5.22,10.72,-0.48,7.99,2.53,9.27,0.75,0.05,0.31,0.04,4.87,1.20,2.69,1.45,-0.02,0.01,0.01,0.06,0.02,0.12,0.06,0.14,-0.06,-0.07,-0.03,0.01,0.00,0.00,0.00,0.00,0.07,0.20,0.10,0.13,3344016,58387,1
-0.01,8.50,4.38,9.59,0.49,8.98,5.16,9.79,-0.31,8.08,3.29,9.34,0.03,0.04,0.17,0.01,0.80,0.91,1.86,0.45,-0.01,0.00,-0.00,0.03,0.08,0.05,0.02,0.10,-0.03,-0.06,-0.02,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.04,0.10,3344016,58409,1
-1.54,8.35,3.90,9.61,0.76,9.58,8.38,10.82,-4.21,5.54,2.25,8.46,1.40,0.99,2.27,0.16,4.97,4.05,6.13,2.36,-0.02,0.04,-0.03,0.07,0.04,0.12,0.02,0.17,-0.17,-0.02,-0.10,0.01,0.00,0.00,0.00,0.00,0.21,0.14,0.13,0.16,3344016,58488,1
-0.02,4.19,8.46,9.47,1.14,5.37,8.87,9.95,-0.73,3.53,7.37,9.05,0.16,0.19,0.10,0.03,1.88,1.84,1.51,0.90,-0.01,0.01,0.00,0.02,0.02,0.03,0.03,0.04,-0.03,-0.03,-0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.04,3344016,58997,1
0.04,1.05,9.27,9.34,0.24,1.23,10.60,10.67,-0.53,0.84,7.50,7.64,0.01,0.01,0.09,0.09,0.77,0.40,3.10,3.03,-0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.02,-0.01,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.02,3344016,59093,1
-0.04,1.04,9.31,9.37,0.04,1.14,9.41,9.47,-0.13,0.91,9.16,9.21,0.00,0.00,0.00,0.00,0.18,0.23,0.26,0.26,0.00,-0.00,-0.00,0.00,0.00,0.00,0.01,0.02,-0.00,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,3344016,59123,1
0.17,0.93,9.29,9.34,0.29,1.03,10.30,10.31,-0.25,0.21,8.73,8.78,0.01,0.01,0.02,0.02,0.54,0.82,1.57,1.53,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.02,-0.01,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,3344016,59149,1
0.20,0.68,9.30,9.33,0.27,0.86,9.37,9.40,0.11,0.59,9.21,9.23,0.00,0.00,0.00,0.00,0.17,0.27,0.17,0.16,-0.00,-0.00,-0.01,0.01,0.01,-0.00,-0.00,0.07,-0.01,-0.01,-0.07,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.07,0.07,3344016,59171,1
0.16,0.27,9.34,9.36,0.85,0.67,9.60,9.65,-0.63,-0.21,9.12,9.15,0.23,0.06,0.01,0.01,1.48,0.88,0.49,0.50,-0.01,-0.01,0.00,0.03,0.00,0.05,0.03,0.05,-0.02,-0.04,-0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.05,0.05,3344016,59192,1
0.39,0.90,9.29,9.34,0.48,1.08,9.58,9.62,0.25,0.58,8.71,8.76,0.00,0.01,0.02,0.02,0.23,0.50,0.87,0.86,0.00,-0.00,-0.01,0.01,0.01,0.00,0.00,0.02,-0.01,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,3344016,59346,1
