@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-1.28,7.11,5.91,9.46,0.76,8.56,8.79,11.28,-3.59,5.76,3.49,8.15,0.89,0.40,0.95,0.38,4.35,2.80,5.30,3.13,-0.06,0.23,0.15,0.74,0.48,1.23,0.93,1.56,-0.63,-0.82,-0.58,0.16,0.05,0.31,0.17,0.10,1.10,2.05,1.50,1.41,3355393,809,1
-0.60,-0.44,9.84,9.87,-0.58,-0.43,9.86,9.89,-0.61,-0.46,9.83,9.86,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,875,1
-0.60,-0.44,9.84,9.87,-0.59,-0.43,9.86,9.89,-0.61,-0.46,9.82,9.85,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,895,1
-1.15,6.96,6.11,9.35,-0.44,7.30,7.38,10.10,-1.75,6.52,4.57,8.64,0.04,0.01,0.18,0.06,1.32,0.78,2.81,1.46,0.00,0.01,-0.00,0.14,0.19,0.16,0.03,0.28,-0.15,-0.19,-0.05,0.01,0.00,0.01,0.00,0.00,0.34,0.34,0.07,0.27,3355393,916,1
-1.15,5.93,6.73,9.48,1.16,9.10,15.54,16.92,-5.32,-0.45,2.05,3.60,2.01,3.22,6.67,4.22,6.48,9.55,13.48,13.32,0.00,0.01,0.06,0.82,2.00,2.36,1.85,3.32,-2.82,-1.28,-1.30,0.08,0.66,0.33,0.19,0.55,4.82,3.64,3.14,3.23,3355393,937,1
-1.82,7.58,5.07,9.36,-0.36,8.20,7.60,11.32,-3.81,6.80,3.27,8.08,0.55,0.15,0.51,0.13,3.45,1.41,4.33,3.24,-0.00,-0.05,-0.01,0.25,0.45,0.51,0.46,1.09,-0.82,-0.79,-0.80,0.03,0.02,0.04,0.04,0.05,1.27,1.30,1.26,1.06,3355393,957,1
-3.57,7.17,4.03,9.53,-0.75,8.46,6.85,12.00,-11.32,1.91,3.17,7.15,6.59,3.57,0.50,0.29,10.56,6.55,3.68,4.85,-0.07,0.09,0.22,0.36,0.56,1.71,4.13,4.78,-1.81,-0.33,-0.19,0.01,0.15,0.12,0.51,0.72,2.37,2.04,4.33,4.77,3355393,978,1
-1.29,7.90,4.72,9.30,-0.74,8.18,5.50,9.73,-1.98,7.66,3.64,8.81,0.05,0.01,0.09,0.02,1.24,0.52,1.87,0.92,0.00,0.00,-0.00,0.13,0.26,0.30,0.16,0.40,-0.28,-0.20,-0.27,0.02,0.01,0.00,0.00,0.01,0.54,0.50,0.43,0.37,3355393,999,1
-2.07,7.91,4.49,9.35,-1.34,8.44,5.91,10.01,-4.11,7.02,2.55,8.86,0.25,0.03,0.17,0.03,2.76,1.42,3.35,1.15,-0.00,0.01,-0.02,0.15,0.36,0.55,0.29,0.83,-0.39,-0.31,-0.79,0.01,0.01,0.01,0.01,0.02,0.75,0.86,1.08,0.82,3355393,1019,1
-1.23,7.88,4.76,9.30,-0.41,8.87,5.48,9.87,-2.20,7.62,2.08,8.87,0.09,0.04,0.19,0.02,1.79,1.25,3.40,1.00,-0.01,0.00,0.01,0.13,0.97,0.21,0.25,1.00,-0.70,-0.30,-0.30,0.01,0.03,0.00,0.01,0.03,1.66,0.51,0.56,0.99,3355393,1040,1
-1.56,6.93,6.09,9.37,-1.00,7.46,6.69,9.64,-2.01,6.59,5.34,9.13,0.03,0.03,0.06,0.01,1.01,0.87,1.36,0.51,-0.01,0.00,0.00,0.07,0.12,0.12,0.06,0.36,-0.32,-0.09,-0.12,0.01,0.00,0.00,0.00,0.00,0.44,0.21,0.18,0.35,3355393,1060,1
-1.74,7.82,4.67,9.34,1.02,8.79,5.42,9.88,-3.15,7.19,1.63,8.99,0.79,0.08,0.25,0.02,4.18,1.61,3.79,0.88,0.02,-0.02,0.04,0.13,0.57,0.18,0.98,1.04,-0.40,-0.54,-0.22,0.01,0.01,0.01,0.03,0.05,0.97,0.73,1.21,1.03,3355393,1081,1
-1.64,7.74,4.88,9.32,-1.08,8.04,6.09,9.69,-2.74,7.05,3.78,8.97,0.27,0.10,0.18,0.01,1.66,1.00,2.31,0.72,-0.02,0.03,-0.01,0.08,0.16,0.51,0.05,0.64,-0.39,-0.11,-0.15,0.01,0.01,0.01,0.00,0.02,0.56,0.62,0.21,0.63,3355393,1101,1
-0.34,7.91,4.78,9.25,0.08,8.17,5.44,9.82,-0.65,7.66,4.48,8.91,0.01,0.00,0.02,0.01,0.73,0.51,0.96,0.91,0.00,0.00,-0.00,0.03,0.08,0.06,0.10,0.12,-0.06,-0.02,-0.05,0.01,0.00,0.00,0.00,0.00,0.14,0.08,0.15,0.11,3355393,1122,1
