@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.25,8.66,5.67,10.37,1.06,8.94,6.27,10.72,-0.58,8.22,5.17,9.93,0.10,0.02,0.04,0.01,1.64,0.72,1.11,0.78,0.01,-0.00,-0.00,0.09,0.14,0.19,0.10,0.35,-0.20,-0.32,-0.22,0.01,0.00,0.01,0.00,0.01,0.34,0.51,0.32,0.34,3619420,61936,1
0.46,8.62,5.71,10.38,1.49,9.37,6.74,11.52,-0.87,8.08,4.51,9.49,0.22,0.07,0.14,0.03,2.35,1.29,2.23,2.04,0.01,0.01,-0.00,0.12,0.31,0.63,0.08,0.79,-0.14,-0.31,-0.37,0.01,0.01,0.02,0.00,0.02,0.45,0.93,0.45,0.78,3619420,61956,1
0.55,9.33,4.59,10.44,1.69,10.30,6.19,11.21,-0.23,8.06,3.69,9.63,0.08,0.14,0.27,0.08,1.92,2.24,2.50,1.58,0.02,0.02,0.02,0.20,0.42,0.73,0.48,0.82,-0.40,-0.26,-0.29,0.03,0.02,0.02,0.02,0.03,0.82,0.99,0.77,0.78,3619420,61977,1
0.63,9.30,4.62,10.42,1.30,9.88,6.25,11.12,-0.61,8.82,4.15,9.76,0.08,0.03,0.11,0.03,1.91,1.06,2.10,1.35,-0.01,-0.02,-0.01,0.09,0.25,0.12,0.16,0.43,-0.33,-0.19,-0.31,0.01,0.01,0.00,0.01,0.01,0.58,0.32,0.47,0.42,3619420,61997,1
-0.28,8.73,5.31,10.29,1.72,9.45,8.33,11.62,-1.56,7.08,4.26,9.17,0.40,0.21,0.38,0.09,3.28,2.37,4.08,2.45,0.07,0.07,-0.02,0.36,1.57,3.23,0.36,3.82,-0.70,-0.95,-1.32,0.03,0.07,0.26,0.04,0.30,2.26,4.18,1.69,3.79,3619420,62564,1
4.48,-7.30,0.69,10.25,14.11,2.70,7.45,16.92,-2.92,-13.99,-5.59,5.50,13.88,9.13,5.23,5.62,17.02,16.69,13.04,11.42,0.02,0.12,0.31,1.98,2.55,1.92,4.18,4.51,-2.57,-2.60,-3.83,0.52,0.86,0.98,2.07,0.99,5.12,4.52,8.01,4.00,3619420,63342,1
-0.28,8.52,5.81,10.44,2.72,10.95,7.27,12.08,-1.60,7.78,2.51,9.52,0.45,0.31,0.73,0.12,4.32,3.17,4.76,2.56,-0.02,0.00,0.01,0.26,0.24,0.51,0.72,1.30,-1.06,-0.63,-0.29,0.04,0.03,0.02,0.02,0.05,1.30,1.14,1.01,1.26,3619420,63413,1
-0.49,8.63,5.62,10.43,1.21,9.76,7.21,11.73,-2.40,8.14,3.94,9.42,0.64,0.09,0.29,0.17,3.61,1.62,3.26,2.31,0.00,0.03,0.02,0.32,0.28,0.49,0.35,0.78,-0.50,-0.53,-0.21,0.09,0.02,0.04,0.01,0.02,0.78,1.02,0.56,0.69,3619420,63433,1
0.27,7.54,6.91,10.28,1.69,8.13,8.18,10.77,-1.03,6.05,5.82,9.84,0.24,0.19,0.23,0.03,2.72,2.08,2.36,0.92,0.02,0.01,-0.02,0.19,0.54,0.52,0.21,0.79,-0.17,-0.66,-0.27,0.05,0.01,0.02,0.00,0.02,0.71,1.18,0.47,0.74,3619420,63933,1
0.66,8.21,6.16,10.30,0.85,8.49,6.65,10.39,0.44,7.68,5.81,10.12,0.01,0.03,0.04,0.00,0.41,0.81,0.84,0.27,-0.00,0.01,0.01,0.06,0.06,0.07,0.04,0.10,-0.03,-0.09,-0.03,0.03,0.00,0.00,0.00,0.00,0.09,0.17,0.07,0.07,3619420,63953,1
