@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.72,6.05,7.80,9.91,2.72,6.58,8.16,10.24,0.19,5.63,6.94,9.50,0.11,0.03,0.06,0.02,2.53,0.95,1.22,0.74,-0.01,0.01,-0.02,0.27,0.40,0.31,0.19,0.73,-0.36,-0.30,-0.27,0.09,0.02,0.02,0.01,0.01,0.76,0.60,0.46,0.64,3344016,66395,1
0.70,6.31,7.53,9.92,3.91,7.16,8.61,10.56,-0.37,5.58,5.77,9.33,0.74,0.13,0.30,0.04,4.29,1.58,2.84,1.23,-0.01,-0.02,0.01,0.37,0.80,0.51,1.09,1.30,-0.77,-0.60,-0.76,0.04,0.06,0.03,0.08,0.09,1.57,1.11,1.86,1.26,3344016,66418,1
1.21,6.23,7.52,9.90,4.50,7.15,8.28,10.59,-0.20,5.41,6.39,9.56,0.82,0.10,0.15,0.02,4.71,1.75,1.89,1.04,0.03,-0.03,0.04,0.24,0.49,0.23,0.57,0.82,-0.24,-0.48,-0.27,0.03,0.02,0.02,0.03,0.04,0.73,0.71,0.84,0.79,3344016,66440,1
0.20,6.27,7.65,9.91,0.60,6.84,8.25,10.12,-0.86,5.80,6.83,9.50,0.13,0.06,0.07,0.01,1.47,1.04,1.41,0.62,0.01,-0.01,-0.01,0.23,0.53,0.74,0.23,0.86,-0.21,-0.39,-0.18,0.02,0.02,0.04,0.01,0.03,0.74,1.13,0.41,0.84,3344016,66461,1
1.00,5.79,7.88,9.90,4.94,7.07,8.58,10.36,0.46,5.03,5.48,9.48,0.84,0.09,0.25,0.02,4.48,2.03,3.10,0.88,-0.00,0.02,0.01,0.23,0.57,0.48,0.96,1.17,-0.70,-0.37,-0.62,0.01,0.03,0.02,0.05,0.09,1.27,0.85,1.58,1.16,3344016,66483,1
0.81,5.94,7.83,9.90,2.95,6.84,8.54,10.13,0.16,5.33,6.50,9.70,0.45,0.12,0.19,0.01,2.79,1.51,2.04,0.43,0.00,-0.00,-0.01,0.22,0.31,0.41,0.24,0.60,-0.33,-0.32,-0.29,0.02,0.02,0.03,0.01,0.02,0.64,0.73,0.53,0.58,3344016,66527,1
0.61,6.46,7.46,9.89,0.65,6.60,7.55,9.97,0.59,6.37,7.37,9.83,0.00,0.00,0.00,0.00,0.06,0.22,0.19,0.13,-0.01,-0.00,0.00,0.02,0.01,0.01,0.01,0.04,-0.03,-0.02,-0.01,0.01,0.00,0.00,0.00,0.00,0.05,0.03,0.02,0.03,3344016,66548,1
1.94,6.26,7.31,9.90,4.46,7.14,8.18,10.37,0.68,5.49,5.75,9.69,0.81,0.15,0.44,0.01,3.78,1.66,2.43,0.68,-0.03,0.05,-0.02,0.29,0.42,0.87,0.46,1.41,-0.82,-0.57,-0.73,0.02,0.05,0.08,0.03,0.10,1.23,1.44,1.18,1.38,3344016,66684,1
1.09,5.99,7.80,9.95,4.63,7.19,8.57,10.74,0.27,5.26,6.26,9.50,0.64,0.07,0.11,0.03,4.36,1.93,2.31,1.23,0.01,0.00,0.01,0.19,0.62,0.68,0.94,1.32,-0.59,-0.69,-0.74,0.01,0.03,0.04,0.05,0.10,1.21,1.37,1.68,1.31,3344016,66716,1
1.09,5.99,7.80,9.95,4.42,6.92,8.40,10.54,0.37,5.34,6.47,9.66,0.54,0.06,0.08,0.02,4.05,1.58,1.93,0.88,0.01,0.00,0.01,0.19,0.54,0.61,0.81,1.16,-0.49,-0.58,-0.65,0.01,0.02,0.03,0.04,0.09,1.03,1.19,1.46,1.15,3344016,66721,1
1.05,5.92,7.76,9.90,4.46,7.08,8.42,10.24,-0.26,5.29,5.72,9.28,0.90,0.09,0.31,0.02,4.72,1.79,2.71,0.96,-0.01,-0.01,0.02,0.36,0.52,0.67,0.88,1.36,-0.67,-1.05,-0.65,0.04,0.05,0.08,0.05,0.10,1.19,1.72,1.53,1.32,3344016,66737,1
1.06,5.69,8.00,9.92,3.62,7.10,8.67,10.51,0.33,5.29,6.20,9.47,0.38,0.18,0.27,0.02,3.30,1.80,2.47,1.05,-0.02,0.02,-0.03,0.19,0.45,0.69,0.50,1.02,-0.69,-0.28,-0.29,0.02,0.03,0.03,0.01,0.05,1.15,0.97,0.80,1.01,3344016,66877,1
