@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.75,6.82,6.82,9.69,1.29,7.51,7.65,10.04,-0.14,6.37,5.47,9.28,0.12,0.11,0.15,0.01,1.44,1.13,2.18,0.76,0.02,0.01,-0.01,0.07,0.41,0.26,0.08,0.50,-0.20,-0.15,-0.14,0.01,0.01,0.00,0.00,0.01,0.60,0.41,0.22,0.50,3355393,36139,1
1.10,6.53,7.11,9.71,1.36,6.63,7.27,9.88,0.85,6.41,6.86,9.52,0.02,0.00,0.00,0.00,0.51,0.22,0.41,0.35,-0.00,0.00,-0.00,0.03,0.01,0.02,0.01,0.04,-0.02,-0.01,-0.02,0.02,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.02,3355393,36160,1
1.21,6.46,7.16,9.72,1.46,6.57,7.42,9.91,0.90,6.35,6.88,9.54,0.01,0.00,0.01,0.01,0.56,0.22,0.54,0.37,-0.00,0.00,-0.00,0.03,0.02,0.05,0.02,0.06,-0.03,-0.02,-0.02,0.02,0.00,0.00,0.00,0.00,0.05,0.07,0.04,0.04,3355393,36180,1
1.33,7.02,6.54,9.70,2.31,7.29,7.81,10.30,0.91,6.30,5.74,9.33,0.10,0.07,0.10,0.01,1.40,0.98,2.07,0.97,-0.00,-0.00,0.00,0.06,0.44,0.29,0.21,0.59,-0.36,-0.25,-0.27,0.01,0.01,0.00,0.00,0.01,0.80,0.54,0.48,0.58,3355393,36201,1
0.91,7.18,6.39,9.70,1.99,8.41,7.96,10.91,-1.04,6.62,3.79,8.78,0.22,0.10,0.38,0.05,3.03,1.79,4.17,2.14,0.00,0.01,-0.00,0.11,0.59,0.42,0.31,0.87,-0.71,-0.37,-0.25,0.01,0.03,0.01,0.01,0.04,1.29,0.79,0.57,0.86,3355393,36221,1
1.16,7.22,6.35,9.69,1.38,7.29,6.64,9.86,0.87,7.16,6.05,9.53,0.00,0.00,0.01,0.00,0.50,0.13,0.59,0.33,-0.00,0.00,0.00,0.02,0.02,0.06,0.02,0.10,-0.02,-0.04,-0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.03,0.09,3355393,36242,1
0.79,6.29,6.98,9.85,7.65,7.93,14.76,14.87,-5.53,-0.66,4.32,6.21,2.46,3.98,2.23,1.01,13.19,8.60,10.44,8.66,-0.36,-0.18,-0.35,0.84,0.38,1.70,0.72,3.43,-2.18,-2.09,-3.16,0.02,0.39,0.38,0.82,1.32,2.57,3.79,3.88,3.41,3355393,36262,1
0.98,7.65,5.73,9.62,2.04,7.97,6.86,10.36,0.24,7.25,4.06,8.94,0.08,0.03,0.13,0.02,1.80,0.72,2.80,1.42,-0.00,0.01,0.01,0.10,0.13,0.14,0.12,0.37,-0.29,-0.12,-0.06,0.01,0.01,0.00,0.00,0.01,0.41,0.26,0.18,0.36,3355393,41040,1
0.19,-0.38,9.78,9.81,1.02,0.63,10.38,10.39,-0.73,-3.12,8.74,9.17,0.03,0.27,0.04,0.03,1.75,3.75,1.63,1.22,0.04,-0.00,-0.01,0.11,0.55,0.08,0.18,0.55,-0.02,-0.13,-0.32,0.00,0.01,0.00,0.00,0.02,0.57,0.21,0.50,0.55,3355393,41061,1
0.32,-0.01,9.82,9.82,0.34,0.01,9.85,9.86,0.31,-0.03,9.78,9.78,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.07,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,41081,1
0.29,7.29,6.27,9.63,1.45,7.89,7.24,10.20,-0.29,6.90,5.01,9.01,0.04,0.06,0.16,0.03,1.74,0.98,2.23,1.19,-0.02,0.02,0.01,0.10,0.15,0.22,0.12,0.30,-0.25,-0.07,-0.10,0.01,0.00,0.00,0.00,0.01,0.40,0.30,0.22,0.29,3355393,41102,1
0.34,7.02,6.59,9.66,1.43,7.18,11.78,13.15,-1.23,5.33,4.97,8.00,0.06,0.07,0.45,0.20,2.66,1.86,6.81,5.15,0.01,-0.02,-0.01,0.10,0.34,0.11,0.09,0.53,-0.49,-0.43,-0.28,0.00,0.01,0.01,0.01,0.02,0.83,0.54,0.37,0.53,3355393,41122,1
0.38,7.34,6.20,9.62,0.49,7.38,6.37,9.72,0.27,7.31,6.08,9.55,0.00,0.00,0.00,0.00,0.22,0.07,0.29,0.17,-0.00,-0.00,-0.00,0.01,0.02,0.01,0.01,0.03,-0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.02,3355393,41143,1
0.45,7.39,6.14,9.62,0.49,7.42,6.23,9.68,0.39,7.36,6.04,9.57,0.00,0.00,0.00,0.00,0.11,0.06,0.19,0.11,0.00,0.00,-0.00,0.01,0.01,0.01,0.00,0.02,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,3355393,41163,1
0.46,7.31,6.26,9.63,0.53,7.36,6.39,9.70,0.28,7.27,6.14,9.58,0.00,0.00,0.00,0.00,0.26,0.09,0.25,0.12,-0.00,-0.00,-0.00,0.01,0.01,0.02,0.00,0.03,-0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.03,3355393,41183,1
0.49,7.35,6.21,9.64,0.60,7.38,6.32,9.68,0.28,7.32,6.02,9.53,0.00,0.00,0.00,0.00,0.31,0.06,0.29,0.15,-0.00,0.00,-0.00,0.01,0.01,0.02,0.01,0.04,-0.02,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.04,0.03,3355393,41204,1
0.46,7.37,6.20,9.64,0.51,7.39,6.31,9.69,0.42,7.33,6.13,9.59,0.00,0.00,0.00,0.00,0.09,0.06,0.17,0.10,-0.00,0.00,-0.00,0.01,0.01,0.01,0.00,0.03,-0.02,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.02,3355393,41224,1
0.49,7.38,6.19,9.65,0.58,7.41,6.39,9.74,0.38,7.34,6.01,9.53,0.00,0.00,0.00,0.00,0.20,0.08,0.38,0.21,-0.00,-0.00,-0.00,0.02,0.01,0.05,0.01,0.06,-0.02,-0.05,-0.03,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.04,0.05,3355393,41245,1
0.60,7.40,6.17,9.65,0.69,7.42,6.34,9.73,0.49,7.37,6.06,9.59,0.00,0.00,0.00,0.00,0.19,0.05,0.28,0.14,-0.00,0.00,-0.00,0.01,0.01,0.06,0.01,0.07,-0.02,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.01,0.06,3355393,41265,1
0.41,7.44,6.13,9.65,0.62,7.57,6.62,9.94,0.17,7.38,5.79,9.39,0.00,0.00,0.01,0.00,0.45,0.20,0.83,0.55,-0.00,0.00,-0.00,0.03,0.05,0.03,0.03,0.11,-0.05,-0.06,-0.06,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.09,0.11,3355393,41286,1
0.58,7.77,5.69,9.65,0.65,7.86,6.00,9.81,0.44,7.68,5.41,9.51,0.00,0.00,0.01,0.00,0.22,0.18,0.59,0.31,0.00,-0.00,-0.00,0.01,0.05,0.02,0.01,0.05,-0.01,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.06,0.03,0.01,0.05,3355393,41306,1
0.54,7.91,5.51,9.65,0.73,7.95,5.78,9.85,0.43,7.86,5.29,9.49,0.00,0.00,0.01,0.00,0.30,0.10,0.49,0.35,-0.00,0.00,-0.00,0.02,0.04,0.05,0.02,0.07,-0.04,-0.04,-0.02,0.01,0.00,0.00,0.00,0.00,0.08,0.09,0.04,0.06,3355393,41326,1
0.56,7.96,5.42,9.65,0.67,8.01,5.69,9.82,0.45,7.91,5.22,9.51,0.00,0.00,0.00,0.00,0.22,0.10,0.47,0.31,-0.00,-0.00,-0.00,0.02,0.04,0.07,0.01,0.09,-0.04,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.02,0.08,3355393,41347,1
0.12,0.24,9.80,9.91,3.62,3.37,12.67,12.81,-1.14,-1.78,6.36,6.99,0.77,1.03,0.51,0.47,4.76,5.15,6.32,5.82,-0.04,0.09,0.16,0.49,0.91,1.75,1.55,2.44,-1.27,-0.98,-0.31,0.00,0.13,0.17,0.17,0.39,2.17,2.73,1.86,2.44,3355393,41367,1
0.44,2.42,9.48,9.79,0.70,2.47,9.60,9.90,0.04,2.33,9.41,9.73,0.02,0.00,0.00,0.00,0.65,0.14,0.19,0.17,-0.00,0.00,-0.01,0.04,0.04,0.10,0.00,0.20,-0.05,-0.07,-0.19,0.00,0.00,0.00,0.00,0.00,0.09,0.18,0.19,0.20,3355393,41387,1
0.29,2.37,9.48,9.78,0.34,2.38,9.52,9.81,0.28,2.37,9.42,9.72,0.00,0.00,0.00,0.00,0.06,0.01,0.09,0.09,-0.00,0.00,-0.00,0.01,-0.00,0.03,0.00,0.03,-0.00,-0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.03,3355393,41408,1
0.29,2.37,9.51,9.81,0.33,2.38,9.54,9.83,0.27,2.36,9.48,9.78,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.06,-0.00,0.00,-0.00,0.01,0.00,0.03,0.00,0.04,-0.01,-0.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.00,0.03,3355393,41428,1
0.29,2.37,9.51,9.81,0.29,2.38,9.53,9.83,0.28,2.36,9.48,9.78,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.05,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,41449,1
0.29,2.37,9.51,9.81,0.33,2.38,9.54,9.84,0.28,2.36,9.47,9.76,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.07,-0.00,0.00,-0.00,0.01,0.00,0.03,0.00,0.07,-0.01,-0.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.00,0.07,3355393,41470,1
0.29,2.37,9.50,9.80,0.33,2.38,9.54,9.84,0.28,2.36,9.47,9.77,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.07,-0.00,-0.00,-0.00,0.01,0.00,0.03,0.00,0.05,-0.01,-0.04,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.00,0.04,3355393,41490,1
