@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.13,0.05,9.87,9.87,0.14,0.06,9.88,9.88,0.12,0.04,9.86,9.87,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,42691,1
0.13,0.05,9.87,9.87,0.14,0.06,9.88,9.89,0.12,0.04,9.86,9.86,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3355393,42712,1
0.18,4.84,7.89,9.90,3.09,8.63,10.79,12.47,-1.80,0.04,4.95,6.90,0.64,9.36,2.53,0.78,4.89,8.59,5.84,5.57,0.23,-0.25,-0.32,0.81,1.84,1.20,0.18,3.65,-0.70,-2.57,-3.06,0.00,0.33,0.48,0.62,1.12,2.54,3.77,3.24,3.65,3355393,42732,1
2.04,6.35,7.22,9.94,4.31,7.01,8.08,10.32,-0.42,5.24,6.57,9.47,1.76,0.19,0.07,0.01,4.73,1.77,1.50,0.85,0.01,0.01,0.16,0.43,0.33,1.24,1.64,1.99,-0.42,-0.69,-0.71,0.02,0.02,0.06,0.24,0.20,0.75,1.93,2.35,1.97,3355393,45113,1
-0.22,6.91,7.12,9.93,0.14,7.30,7.52,10.09,-0.55,6.43,6.61,9.79,0.03,0.05,0.05,0.00,0.69,0.87,0.91,0.30,-0.01,0.01,-0.00,0.11,0.14,0.17,0.16,0.40,-0.29,-0.16,-0.26,0.01,0.01,0.00,0.00,0.01,0.43,0.32,0.42,0.39,3355393,45134,1
-0.31,7.05,6.78,9.93,0.49,9.21,7.83,10.21,-1.88,5.89,2.32,9.58,0.30,0.71,1.62,0.01,2.37,3.32,5.51,0.64,0.09,0.03,-0.02,0.29,1.30,0.58,0.50,1.43,-0.51,-0.82,-0.55,0.02,0.09,0.04,0.02,0.11,1.81,1.41,1.05,1.42,3355393,45154,1
0.41,0.14,9.79,9.88,6.54,3.03,12.79,13.62,-0.28,-0.95,6.31,6.71,1.11,0.25,0.53,0.52,6.82,3.98,6.48,6.91,0.03,-0.12,0.03,0.25,1.70,0.38,0.72,1.93,-0.88,-1.25,-0.44,0.00,0.11,0.09,0.02,0.27,2.58,1.63,1.16,1.93,3355393,45175,1
7.34,0.36,6.67,9.93,7.40,0.42,6.79,10.01,7.25,0.32,6.54,9.84,0.00,0.00,0.00,0.00,0.15,0.10,0.25,0.17,-0.00,-0.00,-0.00,0.04,0.04,0.06,0.03,0.09,-0.04,-0.08,-0.03,0.02,0.00,0.00,0.00,0.00,0.09,0.14,0.06,0.07,3355393,45195,1
7.25,0.31,6.77,9.93,7.85,0.79,6.97,10.15,7.09,0.03,6.24,9.74,0.03,0.01,0.03,0.00,0.76,0.76,0.73,0.41,-0.00,0.01,0.00,0.08,0.18,0.25,0.22,0.39,-0.27,-0.19,-0.11,0.01,0.00,0.00,0.00,0.01,0.45,0.44,0.33,0.38,3355393,45215,1
7.14,0.11,6.88,9.94,7.63,0.71,8.04,10.77,6.08,-1.56,6.46,9.30,0.11,0.31,0.09,0.02,1.55,2.27,1.58,1.47,-0.05,0.03,0.00,0.11,0.11,1.18,0.34,1.60,-0.99,-0.29,-0.37,0.00,0.03,0.04,0.00,0.08,1.10,1.47,0.71,1.60,3355393,45235,1
