@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
4,2,-1547699361,2,-662003450,-662003450,-662003450,339,21,-1547699361,122,0,0,1,3619420,65288
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,341,21,-1547699361,124,39270,33390,1,3619420,65347
0,0,63,0,-1547699361,-1547699361,-1547699361,341,21,-1547699361,124,832018,30992,1,3619420,65408
6,2,-1547699361,4,-1547699361,-662003450,-1547699361,347,21,-1547699361,128,444549,92964,1,3619420,65469
5,2,-1547699361,3,-19211888,-1547699361,-19211888,352,21,-1547699361,131,1710891,152525,1,3619420,65530
1,1,-19211888,1,-19211888,-19211888,-19211888,353,21,-1547699361,131,271639,114177,1,3619420,65591
0,0,63,0,-19211888,-19211888,-19211888,353,21,-1547699361,131,18739,17730,1,3619420,65652
0,0,63,0,-19211888,-19211888,-19211888,353,21,-1547699361,131,8090,12236,1,3619420,65713
0,0,63,0,-19211888,-19211888,-19211888,353,21,-1547699361,131,17982,13620,1,3619420,65774
1,1,-19211888,1,-19211888,-19211888,-19211888,354,21,-1547699361,131,70040,43879,1,3619420,65896
0,0,63,0,-19211888,-19211888,-19211888,354,21,-1547699361,131,9586,5497,1,3619420,65957
0,0,63,0,-19211888,-19211888,-19211888,352,21,-1547699361,131,4355,11696,1,3619420,66018
0,0,63,0,-19211888,-19211888,-19211888,352,21,-1547699361,131,227761,17685,1,3619420,66079
0,0,63,0,-19211888,-19211888,-19211888,352,21,-1547699361,131,106040,33285,1,3619420,66140
0,0,63,0,-19211888,-19211888,-19211888,348,19,-1547699361,129,6083,10083,1,3619420,66201
0,0,63,0,-19211888,-19211888,-19211888,345,19,-1547699361,126,11515,16524,1,3619420,66262
0,0,63,0,-19211888,-19211888,-19211888,345,19,-1547699361,126,3558,5790,1,3619420,66323
0,0,63,0,-19211888,-19211888,-19211888,345,19,-1547699361,126,68708,25054,1,3619420,66384
4,2,-1547699361,3,-1547699361,-1547699361,-1547699361,349,19,-1547699361,129,45528,26598,1,3619420,66445
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,347,19,-1547699361,130,210825,19707,1,3619420,66506
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,348,19,-1547699361,131,2665,2663,1,3619420,66567
0,0,63,0,-1547699361,-1547699361,-1547699361,348,19,-1547699361,131,126618,37294,1,3619420,66689
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,342,19,-1547699361,125,19385,12019,1,3619420,66935
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,342,19,-1547699361,126,35993,13941,1,3619420,67030
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,343,19,-1547699361,127,34911,5892,1,3619420,67091
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,344,19,-1547699361,128,123983,19583,1,3619420,67213
