@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.06,0.06,9.63,9.63,-0.05,0.07,9.65,9.65,-0.07,0.04,9.61,9.61,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,-0.00,-0.00,0.00,0.00,0.01,0.02,0.00,0.03,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.03,3619420,65261,1
-0.06,0.06,9.63,9.63,-0.05,0.10,9.65,9.65,-0.10,0.04,9.62,9.62,0.00,0.00,0.00,0.00,0.05,0.06,0.03,0.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3619420,65281,1
0.31,5.84,7.60,9.61,0.97,6.50,9.09,10.74,-0.39,5.51,6.16,8.79,0.04,0.03,0.22,0.09,1.35,1.00,2.92,1.95,-0.00,-0.00,0.00,0.22,0.82,0.66,0.28,1.06,-0.58,-0.72,-0.37,0.02,0.03,0.04,0.01,0.03,1.40,1.38,0.66,1.04,3619420,65301,1
-0.80,5.49,7.57,9.69,3.52,7.05,10.10,12.37,-5.68,2.75,4.67,8.31,3.29,0.83,1.24,0.44,9.20,4.30,5.43,4.06,0.01,0.01,0.18,0.96,1.14,2.45,1.22,3.30,-0.81,-3.24,-1.29,0.05,0.18,0.83,0.23,0.58,1.95,5.69,2.51,3.25,3619420,65321,1
3.30,0.25,8.50,9.89,8.31,6.15,11.38,13.32,-3.39,-4.00,5.51,6.52,6.90,6.30,2.03,2.52,11.69,10.15,5.87,6.80,0.15,0.07,0.43,1.24,1.49,1.48,2.00,2.83,-1.68,-1.04,-2.52,0.11,0.37,0.27,0.86,0.37,3.18,2.53,4.51,2.72,3619420,65421,1
-2.52,4.81,7.81,9.64,-0.26,6.08,9.75,11.54,-5.13,3.34,6.09,8.20,1.42,0.35,0.68,0.43,4.87,2.74,3.66,3.34,-0.06,0.07,0.15,0.56,0.57,0.86,1.58,1.70,-0.91,-0.69,-0.41,0.12,0.09,0.11,0.22,0.16,1.48,1.54,1.99,1.58,3619420,65441,1
-2.61,-1.69,8.98,9.77,0.72,4.49,13.48,14.00,-5.25,-3.13,6.70,8.00,1.26,3.57,1.02,0.83,5.97,7.62,6.78,6.01,0.17,-0.03,-0.08,0.59,1.52,1.89,0.80,2.01,-0.40,-1.81,-1.19,0.08,0.14,0.17,0.12,0.22,1.92,3.70,1.99,1.92,3619420,65461,1
-2.03,5.51,7.57,9.62,-1.45,6.67,8.39,10.12,-2.78,4.87,6.02,8.99,0.08,0.14,0.21,0.04,1.33,1.80,2.37,1.14,-0.02,0.01,-0.01,0.31,0.33,0.70,0.30,1.20,-0.82,-0.98,-0.56,0.04,0.04,0.06,0.02,0.05,1.15,1.69,0.86,1.16,3619420,65481,1
-1.28,5.82,7.32,9.59,0.34,7.49,9.79,10.99,-3.21,3.29,5.20,8.48,0.41,1.09,0.88,0.12,3.56,4.20,4.59,2.51,0.07,-0.06,-0.13,0.52,0.92,0.97,0.26,2.02,-0.59,-1.65,-1.14,0.11,0.08,0.16,0.09,0.16,1.50,2.62,1.40,1.91,3619420,65501,1
1.33,0.31,9.18,9.83,6.89,3.93,19.54,19.66,-3.79,-4.64,4.32,5.52,4.35,5.54,4.33,4.00,10.68,8.58,15.22,14.13,-0.04,0.08,0.54,1.19,1.19,1.58,2.40,2.69,-1.20,-1.42,-0.96,0.27,0.33,0.44,0.50,0.28,2.38,3.01,3.36,2.42,3619420,65521,1
-0.34,1.99,9.40,9.65,2.27,3.46,10.37,10.64,-1.60,1.06,7.74,8.20,0.27,0.30,0.13,0.10,3.86,2.40,2.63,2.44,-0.03,0.04,0.04,0.22,0.33,0.50,0.39,0.69,-0.39,-0.29,-0.11,0.04,0.02,0.02,0.01,0.02,0.72,0.79,0.51,0.66,3619420,65541,1
0.05,2.09,9.34,9.61,2.46,3.42,10.27,10.48,-1.08,1.40,8.51,8.83,0.47,0.17,0.06,0.05,3.54,2.03,1.76,1.65,0.01,0.01,-0.00,0.21,0.64,0.61,0.35,0.99,-0.54,-0.71,-0.33,0.02,0.03,0.04,0.01,0.05,1.18,1.32,0.69,0.97,3619420,65561,1
0.19,1.59,9.44,9.63,2.31,2.75,10.27,10.50,-2.14,0.39,8.32,8.87,0.67,0.22,0.09,0.06,4.46,2.36,1.95,1.64,-0.02,-0.02,-0.01,0.37,0.65,0.76,0.30,1.28,-0.73,-1.11,-0.42,0.05,0.06,0.11,0.02,0.08,1.37,1.87,0.72,1.24,3619420,65581,1
-0.15,2.98,9.13,9.61,0.08,3.37,9.52,9.92,-0.28,2.74,8.59,9.08,0.00,0.01,0.01,0.01,0.36,0.63,0.93,0.84,-0.00,0.01,0.00,0.06,0.10,0.12,0.06,0.24,-0.08,-0.10,-0.09,0.01,0.00,0.00,0.00,0.00,0.18,0.22,0.15,0.23,3619420,65601,1
0.04,3.66,8.83,9.61,2.57,4.58,9.58,10.36,-1.44,2.25,7.87,9.04,0.68,0.14,0.08,0.05,4.01,2.33,1.71,1.31,-0.01,-0.01,-0.02,0.27,0.34,0.53,0.34,0.82,-0.43,-0.74,-0.51,0.03,0.02,0.05,0.02,0.03,0.77,1.27,0.86,0.78,3619420,65622,1
-0.41,3.63,8.76,9.66,1.14,5.52,12.17,12.32,-2.41,0.83,5.72,7.16,0.55,1.83,1.58,0.86,3.56,4.69,6.45,5.16,0.04,-0.01,-0.04,0.29,0.57,0.33,0.32,0.77,-0.59,-0.49,-0.48,0.04,0.05,0.03,0.02,0.04,1.16,0.82,0.80,0.73,3619420,65642,1
-0.55,3.37,8.78,9.66,2.76,5.18,10.89,11.10,-4.77,0.70,5.88,7.77,2.46,1.39,0.64,0.28,7.53,4.48,5.01,3.34,0.02,-0.00,-0.01,0.73,0.83,1.87,0.41,2.76,-0.85,-2.66,-0.58,0.08,0.09,0.66,0.04,0.36,1.68,4.53,0.99,2.69,3619420,65662,1
